TIME,TRANSCRIPTION (SESOTHO),TRANSLATION (ENGLISH),NOTES,Notes
01:06- 01:23,"Ke ratile botichere hobane ke rata ho sebetsa le bana.

Ke rata bana haholo.



","I chose teaching because I like working with children.

I love children very much.



",,
01:50- 02:15,"Motho ba nratisitseng bo tichere ke ntate Mothunts`ane Moremoholo.

O ne a rata batho ba sebetsang ka thata.","The person who inspired me to be become a teacher is Mr Mothuntsane Moremoholo.

He love hard working people.",,
02:27- 02:36,Ke qala ho rata botichere ha ke le lilemo li mashome a mabeli a metso e `meli.,I started teaching when I was twenty-two years old.,,
02:42- 03:09,Ke se ke na le lilemo tse mashome a mane ke le tichere.,I have been a teacher for forty years.,,
03:18- 03:39,"Ke rata ho ruta hobane ke rata ho sebetsa le bana ba banyane.
`Me ke rata ha ba tsoela pele bophelong.","I love teaching because I love working with the younger generation.
And I love when they succeed in life.",,
04:46- 05:01,"Ntho eo ke ratang haholo ka botichere ke hore ke rata ho bopa batho ba banyane,ke ba holise,e be batho ba ikemetseng bophelong.
","The thing I like the most about teaching is that I like to develop young people, raise them to be independent people in life.",,
05:37- 05:38,"Ke ruata bana ho se senyetse bana ba bang.

Ba se senye thepa ea sekolong,hobane e tla ba tsoela molemo bophelong.","I teach children not to harm other children.

Don't waste school properties, because they will be useful for them in life.",,
05:45- 06:19,"Liqholotso tseo ke kopanang le tsona botichereng lingata.

Mohlala;bana ba bang ba tsoa malapeng a hlokang,ba bang ke likhutsana,ba bang ha bana seaparo sa sekolo.

Joale o le tichere o tlameha ho bona hore bana ba joalo ba rekeloa lintho tse hlokahalang.




","The challenges I face in teaching are many.


For example, some children come from poor families, some are orphans, some don't have school uniforms.

So as a teacher you must ensure that such children get the necessary things.




",,
06:19- 07:01,"E ngoe ke ea batsoali ba sa kenyeng letsho thutong ea bana.

Hape bana ba na le hotla sekolong ba sena lisebelisoa.

Ha rena lithusa thuto tse lekaneng ho thusa bana.","Another change parents who do not contribute in their children's education.

Also, some children go to school without learning materials.

We don't have enough educational resources to help children.",,
07:01- 07:37,"E ngoe ea liqholotso ke hore e sa le re qetela ho fuoa lisebelisoa sekolong mona ka selemo sa sekete le leshome le metso e robong.
",One of the challenges is that the last school equipment was given here in the year 1990.,,
08:04- 08:59,Ha re na lisebelisoa hohang.,We have no equipments at all.,,
09:44- 09:58,"Ha ke qala ho ba tichere mosebetsi o ne o le mongata ha ho bapisoale lilemong tsa ka jeno.

","When I first became a teacher, there was a lot of work position available compared to this years.

",,
10:07- 10:51,Bothata bo teng ba tlhokahalo ea mesebetsi bo tlisoa ke khaelloea likolo ka hare ho naha ea Lesotho.,The problem of unemployment is caused by the shortage of schools in Lesotho.,,
11:17- 12:17,"Boima bo ke kopanang le bona sekolong ke horematlo a mang a ho ruteloa kea khale,a mang a oele,a mang a hloka marulelo.

Ha pula ena hoa nela.

","The difficulty I encounter at school is that some of the educational buildings are old, some have fallen down, and some need roofing.

When it is raining the roofing leaks.

",,
12:17- 12:28,"Re bile le thuto e sa lefelloeng ka selemo sa likete tse peli,e ne e le ha thuto e tlamang ngoana e mong le e mong e kena ts`ebetsong.","We had free education in the year 2000, that was when compulsory education for every child came into effect.",,
12:29- 13:36,"Ka mora hore ho kene ts`ebetsong hoa thuto e sa lefelloengbana ba ile ba theoha ho ithuta hantle,ka ha ba ne ba fumanalintho tsa mahala.`Me mokhoa oa thuto o ile oa theoha.

Hape bana ba ile ba tlohela hjo kena sekolo ka nepo.

","After the implementation of free education, the children stopped studying properly, as they were getting free things. And the education system went down.

Also, the children left school today properly.


",,
13:50- 14:05,Hape le batsoali ba sena ts`alo morao ea bana.,Also parents stop taking the responsibility of their children`s education.,,
14:24-16:07,"Ha batsoali ba ne ba ka kenya letsoho thutong ea banaba bona ho ka thusa batsoali ho suthumetsa bana ho etsa mosebetsi oa sekolo,ba o etse ka nako,le hore hape bana ba se lo fe sekolo ba kene sekoloka nepo, e le hore ba tsebe ho pasa lithutotsa bona ka bokhabane.","If parents were to participate in their children's education, it would help parents to push their children to do their homework on time, and also encourage them not to miss schooling and attend school properly, so that they can be able to pass their studies with excellence.",,
16:30- 17:00,"Mosebetsi oa tichere ka ha re ho metse,ke hore tichere e ka isa litsebo tsa hae ka ha re ho metse.

Ha hona le nthoe hlokoang metseng tichere ke eonae tlamehang ho tseba e le hore a tle a fane ka se hlokokoang.","The job of a teacher, in the community is to take his\her skills in to the community.


If here is nothing that is needed in the villages, the teacher is the one who is consulted. ",,
17:22- 17:55,"

Tichere ke mohlaise oa batho boohle le mesebetsi eohle,o tlameha hore a sebetse ka thata ho hlahisa batho ba bohlokoa ba kamoso.","


A teacher is a producer careers and all jobs, he must work hard to produce important people of the future.",,
18:20-19:10,"Lesotho ke naha ea khotso ,e tsejoang ka ho ba le khotso,khotso e bolelang ho Basotho?

Tichere kapa motho ka bo mong o tlameha ho bale khotso pele ka hare ho eena,hore khotso o nang le eona o tsebe ho e fetisetsa ho motho e mong.

Khotso re e fihlela feela ha re ikokobetsa,re ikokobeletsa motho e mong, ho sa natse na ke emoholo kapa e monyane.

Khotso ea hlokahala ka hare ho naha ea rona,hore re phelisanengha `moho ka thabo.","Lesotho is a country of peace, known for having peace, what does peace mean to the Basotho?

A teacher or an individual must find peace within himself first, so that the peace he has is able to transfer it to another person.


We only achieve peace when we humble ourselves, and respect one another, regardless of whether they are old or young.

Peace is needed in our country, so that we can live together happily.",,
19:10-20:06,"Matsatsing a joale re bona feela hore khotsa ea theoha kapa e ntse e feela ka ha re ho naha ea rona,hobane ha re sa thusana joalo ka pele.

Khotso e se e senyehile hobane re bona Naha ese e jele boea,batho ba se ba bolaeana.

Se na e ka nna ea ba se bakoa ke hona ho hlokahala hoa mesebetsi.","These days we only see that the economy is going down or is still the same as we are in our country, because we don't help each other like before.

The peace has been destroyed because we see that the country has been destroyed, people are killing each other.

This may be due to lack of jobs.",,
20:39- 21:28,"Ke batla Serooeng Primary School li lemong tse hlano tse tlang se sebetse hantle,haholo sehlopheng sa ho qetela sa bosupa,e le ho ba betlela tsela ka pele ho bona.

","I want Serooeng Primary School to do well in the next five years, especially in the last grade seven, in order to pave the way for them.

",,
21:29- 22:23,"Hape e be sekolo se ka hlaisang mesebetsi ea matsohojoaloka,ho hlaisa meroho,ho ruoa likho tsa nama le mahe,horuoa likolobe,ba rekise ba tsebe le ho iphelisa kamoso.","It should also be a school that can produce handicrafts such as, growing vegetables, rearing meat and eggs, rearing pigs, selling them and earning a living in the future.",,
22:48- 23:25,"Ho ba le pokello ba libuka ho ka re thusa haholo hobanebana ba tla fumana lithusa thuto tse tla ba thusa hahololithutong tsa bona.
",Having a collection of books can help us a lot because they will find learning aids that will help them a lot in their studies.,,
24:02- 24:47,"Ha ke qetella litaba tsaka,ke kopa hore re mpe re fuoelithuso tse ka thusang bana ho tsoelapele sekolong,ka ha bana ba lutse hae ha ba khone ho tsoelopele ka lithuto tsa bona,ka lebaka la ho hloka lithuso.","When I close my talk, I am pleading for grants that can help the children to continue with studies, as the children are sitting at home and cannot continue with their studies, due to the lack of grants.",,
24:48- 25:32,"Ha pe sekolo se thusoe ka meaho e mecha e le hore bana ba tsebe ho ithutela ka moo ho bolokehileng.

Se na se ka etsa le hore bana ba ithute hantle,ba ipabole lihlahlobong tsa bona.","The school should be helped with new buildings so that the children can learn in a safe place.


This can also make the children study well, excel in their exams.",,
25:44- 26:33,"Na hona le molaetsa oo o ka fanang ka ona lefats`eng ka bophara?

Ke kopa hore lefats`e le tsebe hore bana ba banyane ke bokamoso ba naha e ngoe le e ngoe.

Hape bana ba hloka thuto e nang le boleng ba tle ba tsebe ho iphelisa bophelong.","Is there a message you can give to the whole world?

I would like the world to know that young children are the future of every country.


Children also need quality education so that they can support themselves in life.",,
00:00-00:17,"Lebitso la ka ke Rethabile Sekote.

Ke sebetsa mona Serooeng Primary, ke le mothuse.","My name is Rethabeli Sekute.

I work here at Serooeng Primary, as a teacher.",,
00:24-00:54,"Mosebetsi oaka letsatsing lena ke ho ruta bana joaloka kamehla.

Re etsa lintho tse ngata tse fapaneng,tseo bana ba bang ba ka liutloisisang empa ba bang e be bothata ho utloisisa.

Joalo Ka ha re ne re etsa migration le urinary system.","My day job is to teach the children as usual.


We teach many different things, which some children can understand but others have difficulty understanding.

Just as I was teaching about excretion and urinary system.",,
01:50-02:18,"Ke bile tichere hobane ke ne ke hlokomela hore ke na le mamello eobana ba e hlokang.

Ke utloisisa hore mamello eo ke nang le eona e ka thusa bana ho tsoela pele ka lithuto tsa bona,ka ha ba bang ba lia ho utloisisa ka sehlopheng.","I have chosen to became a teacher because I have reaised that I have the patience its takes for children to understand.

I understand that the patience I have can help the children to continue with their studies, because take long to understand in class.",,
02:22-02:50,Ke na le lilemo tse supileng ke le tichere.,I have been a teacher for seven years.,,
03:02-03:27,"Ke rata ho ruta hobane ke fumana thabo eaka baneng ba sekolo.

Le `na ke tloha se ntse ke na le mathata hae,empa ha ke fihla sekolong ntho e ngoe le e ngoe ea fetoha ka lebaka la ho ba le bana ba sekolo.","I like to teach because I find my joy in school children.


Even when I have my own problems at home they disappear as soon as get to school and meet the children.",,
04:04-04:29,"Li qholotso ke li sebelisoa tsa sekolong.

Bo ka nako engoe ntho eo tlamehang ho e ruta ha ke tsebe,joale seo seetsa hore mosebetsi oaka o be boima hore joale ke tlameha ho ruta ngaoana ntho e itseng empa joale ha ke tsebe.","Here at school our main problem is resources.

Sometimes I have to teach things that I do not know so it becomes impossible to teach children things one do not know. This makes my job difficult",,
04:38-04:49,"Ho ba le lithusa thuto ho ka re thusa haholo re le matichere.

Mohlala, ha hona le ntho eo ke tsebang e ka re nka e ruta nako eona.

Hape ke natefeloa ke ho ruta ha feela ho na le ntho eo ke tsebang.

Ha ke tseba ntho ka botlalo ho bolela hore bana ba tlo tla ba nepo se o ke ba rutileng sona.","Having teaching aids can help us a lot as teachers.


For example, when I have a knowledge of something I feel like I can teach it over and over.

I also enjoy teaching as long as I know something.


When I know something completely, it means that the children will be correct in what I have taught them.",,
05:20-05:47,"Mathata ao re kopang le ona re le matichere ke hore mohlomong ngoana ha utloisise, kapa o tloha hae a se ntse a ena le mathata.

Joale ke tlameha ho tlosa ngoana kelellong e hae ke motlise sekolong,hore a tlohe a utloileng seo ke tlo se ruta.

Hape ngoana a tlohe sekolong mona a hlabolohile.","One of the challenges we have as teachers is that sometimes children don’t understand what we teach, or they leave homes already having their own problems.

Now I have bring a child’s mind back to school, so that he/she can leave having understood what I taught.

Also, let the child leave school rehabilitated.",,
05:51-06:22,"Joalo ka `m`e ke tlameha hore nako eaka e lekane.

Mohlala,nako eaka ea sekolong le ea hae li lekane,ke tsebe ho khotsofatsa bana ba sekolo le bana baka hae.","As a mother I have to have enough time.

For example, I have to have enough time for children at school and my children at home.",,
06:43-07:21,"Mosebetsi oa tichere sechabeng e mengata.

Mohlala ha re le lefung e ba moruti ha eo,tichere e tlameha hotsamaisa ts`ebeletso eno.

[[transcription]]

Tichere e tataisa bana ha ba le sekolong le hae.","Teachers have many roles in the society.

For example, when we have a funeral and the pastor is not around, the teacher must lead this service.

Teachers also assist in Midwifery activities.

The teacher guides the children at school and at home.",,
07:34-07:53,"Tichere e fetola maphelo a batho hobane le moo batho bakopaneng, e ba ha hona tharollo tichere e fana ka tharollo.

Tichere e etsa bo `nete ba hore e rarolla likhang tse bang teng ka hare ho sechaba seo a phelang le sona.","A teacher changes people's lives because even where people are gathered, there is no solution, the teacher gives a solution.

The teacher makes sure that he resolves the disputes that arise within the community he lives with.",,
08:10-08:39,"Tichere ke motho oa bohlokoa haholo hobane ha tichere e le sieo ha honalesole, ha hona tichere, ha hona tona-kholo,kore ha hano barutehi hohang.

Ha hona bophelo ka ntle ho tichere bopheng mona.","A teacher is a very important person because if the teacher is not there, there is no soldier, there is no teacher, there is no prime minister, there are no academics at all.

There is no life without a teacher in life here.",,
09:01-09:53,"Lesotho ke naha ea khotso.

Khotso ke ntho ea bohlokoa haholo le le sechaba se le seng,hore le tlameha ho utloana.

Ho re re tsoelepe ho aha sechaba le naha ea rona,re tlameha re be le khotso.

Re sebetse `moho re le batho.

Ha re sebetsa `moho re le matichere,thuto e nka ba ntle bana ba pasa hantle.

Le moruo oa naha o ka nyoloha ha bo bebe ha feela re na le khotso.

Le mathata a mangata re ka a hlola ha feela khotso e le teng ka ha re ho naha ea rona.","Lesotho is a country of peace.

Peace is a very important thing as a nation, oneness and togetherness.

To continue to build our nation and country, we must have peace

Let's work together as people.

When we work together as teachers, education is good and children pass well.

Even the country's economy can go up if we have peace.


We can overcome many problems as long as there is peace in our country.",,
10:38-11:21,"Ha batsoali ba ka ba le seabo thutong ea bana ba bona e ka thusa bana haholo,ka ha ha sa utloisisa tichere a ka utloisisa motsoali.

Se na se ka thusa le matichere ho be bo fatsa mosebetsi oa bona,ka ha batsoali ba thusana le bona.","If parents are involved in their children's education, it can help them a lot, because a child could understand a parent where they can not understand a teacher.

This can help the teachers to do their work, as the parents help each other.",,
12:21-12:54,"Thuto ea bana baka e bohlokoa haholo hobane e tlo etsa hore ngoana a se ka lula nqa e le ngoe.

Ngoana o atleha ho fihla libakeng tse ngata ho feta ha sa ke ne sekolo.

E bohlokoa hobane bokamoso ba ngoana bo tsoelapele.

E mpha le boits`epo ba hore ngoanaka o tlo ba le bokamoso bo botle.","The education of my children is very important because it will change my children`s future and go further with their studies.

Going to school helps children explore more places than when they are out of school, and thus makes them learn even more.

It is important for my children to go to school because education embodies their knowledge.

It also gives me confidence that my children will have a better future.",,
13:14-13:58,"Thuto ea ka jeno ea fapana haholo le ea rona,empa phapang e le hore ea ka jeno e se e le ea li grade.

Ka jeno bana ba se ba na leboiphihlelo haholo ha ho bapisoa le nako eore neng re kena sekolo ka eona.

Ha na joale bana ba se ba ea ka mehala sekolong.

Ba sebelisa le marangrang.","Today`s education is not that much different from ours because the main idea is to go to school and learn, the difference is that today they have grades while us we had standards.

Students of this years have more experience and more knowledge than us because they are exposed to technology at early stage,and thus make them even more prellient than us.

Nowadays students use phones at school while teaching and learning takes place,hence why they have access to technology and new things around the world.

They also use the internet which helps them gain more knowledge about things around them and around the world.",,
14:07-14:29,"LI toro tsaka ka bana ke hore ke ba bone ba atlehile bophelong.

Ba sebetsa ka o feela ha bona.

Ba na le chelete e ngata.

Ba rutehile e le batho ba bohlokoa bophelong.","My dream for my children is to see all of them succeeded in life.

Working hard all together for their success.

Earning alots of money for a better future.

I want to see them successful and educated so that they can become better people in future and in the community.",,
14:39-14:56,"Ho ba motsoali ho bolela ntho e kholo bophelong baka.

Ho bolela hore ke na lebaka la ho phela.

Ke na lelintho tseo ke tlamehang ho li fihlela bophelong.

Ke na le lelapa leo ke tlamehang ho le hlokomela bophelong.","Being a parent means a lot to me.

It means I have a reason to live,which is my children.

I have bigger things and dreams that I have to achieve in life.

I have a beautifull family to take care of.",,
15:08-15:37,"Ke na le bana ba babeli.

Ea balang grade6 ke motlotlo ka ena haholo,hobane o sebetsa ka thata,o lula a pasitse hantle.

Le ea ntseng a hola,o se ntse a tla a le mafolo-folo.

Ke se ntse ke bona hore le eena o tlo sebetsa hantle haholo.","I have two children.

My son who is in grade 6, is always amongst the top students who performs well,and I am very proud of him.

Even the one who is still growing up, he is like his brother,always active and very clever.

I can tell that he is going to do very well at school as well.",,
16:33-17:00,"Ke hloka ho fa bana baka bokamoso bo chabileng.

Ntho e ngoe le e ngoe eo ba e hlokang ke bone hore e ba teng ka mehla.

Ke hloka li ntho tse betere ka bona bophelong.","I want my children to have a bright future.

I always make sure that everything they need is available.


I work hard for them to have better things in life.",,
17:50-18:06,"Ho na le lipotso kapa lintho tseo o ka lakatsang ho buoa ka tsoano,e ka ba tseo ke sa li botsang?

Ha ke na lipotso,ha ke tsebe ha e ba ke tla ba le lipotso ka tsatsi le hlahlamang.","Are there any questions or things that you would like to address, or that I have not asked?

I have no questions, I don't know if I will have questions the next day.",,
18:47-19:29,"Ha e ba o na le molaetsa ho lefats`e ka kakaretso,e ne ka ba o feng?

Motho e mong le e mong o tlameha a ikeletse na o batlang.

Le hore na o batla ho fihlela eng bophelong.

Motho e mong le e mong a itekole.

A le ke ho ikhotsofatsa pele.","If you have a message for the world in general, what would it be?

Everyone has to work hard to achieve what they want in life.

Everyone has to know what he\she wants in life.

Everyone should challenge him\her with other people.

Let's satisfy ourselves first.",,
19:49-20:26,"Molaetsa ho bana ba ka ba sekolo ke hore ha e ba hona le moo ba i leng ba khibela teng kapa moo ba sa sebetsang hantle,ba qale ba tiise ho sebetsa le ho lokisa liphoso tsa bona pele.

Ba tsoele pele ho sebetsa ho fihlela ntho e ngoe le e ngoe eo ba e batlangbophelong.","The message to my students is that they should work hard to pass well, and they should go and correct their mistakes, they should dream big to achieve bigger things in life.

They should continue to work harder to achieve what ever they want to become in life.",,
02:00-02:11,Lebitso laka ke `Makopano Sello.,My name is Makopano Sello.,,
02:18-02:22,Ke sebetsa mona ke phehela bana ba sekolo.,I work here as a cook.,,
02:25-02:44,Ke qalile ho pheha ka selemo sa kete tse peli mashome a mabeli le metso e meli.,I have been cooking for a year.,,
03:38-04:01,"Kena le bana ba bahlano.

Kena le Bohlokoa ka grade 1.

 Paballo ka grade 2.

 Tefo ka grate 3.

Boitumelo ka grade 4.

Le Relebohile ka grade 5.","I have fifth kids who attend school here.

The first one is Bohlokoa in grade 1.

I have Paballo in grade 2.

I have Tefo in grade 3.

I also have Boitumelo in grade 4.

And Relebohile in grade 5.",,
04:20-04:39,"Mosebetsi o na o nthusa haholo ka ha ke fumana chelate.

Hap eke khona re rekela bana baka lijo,libuka tsa sekolo,le liaparo.

Re khona ho phela lapeng.","To work here helps me a lot because I earn money to live.

With that money I manage to buy food, clothes for my kids and also buy school books for them.

Our lives depend on this job.",,
04:50-04:57,"Ke rata mosebetsi oa ho pheha haholo,ke rata ho pheha fats`e haholo.",I like cooking very much because it's something I am passionate about.,,
05:25-05:38,"Ho molemo ho bana ho fumana lijo sekolong ka ha hona le ban aba jang sekolong feela,hae ha hona lijo.","It is important for children to get food at school because some of them only eat at school, due to lack of food at home.",,
07:05-07:23,"Mona sekolong sa Serooeng lijo li lutes li le teng,ha li ke be li fele.

Ha e ba lijo li le ngata,li sebelisoa hantle le hore ban aba tle ba tsebe hoja le nako e tlang.","Here at the Serooeng primary school, the food is plenty and always available. Meaning students always get food at school.

When we have plenty of food we manage to save what ever amount of food we have for next time, so that the food is always available all time.",,
07:44-07:50,"Ke thabela ho fepa bana lijo,ka ha kee bone le bona ba thabile ka linako tsohle.","I enjoy cooking and serving students food because when they had food they focus in class, and they become happy.",,
00:00-00:40,"Lebitso la ka ke Mokete. 
  Ka jeno re maletsunyane water fall Semonkong.","My name is Mokete 
  Today we are at Maletsunyane waterfall.",,
00:41-01:08,"Ke hlahetse hona Semonkong mona. 
  Lapeng heso re bana ba bane. 
  Ke `na ea moholo,e be ke hlahlangoa ke banana","I was born here in Semonkong. 
  In my family, we are four children. 
  I am the eldest, and I was followed by three girls.",,
01:09-02:41,"Batsoali baka ke lihoai. 
  Ba lena meroho,poone,linaoa,mabele,litapole, koro,le tse ling tse ngata.","My parents are farmers. 
  
  They have vegetables, corn, beans, sorghum, potatoes, wheat, and many others.",,
02:42-03:00,"Hape ke b arui ba liphoofolo tse fapaneng,joaloka likhomo,linku,lipoli,lipere,litonki.
  Linku le lipoli lintle haholo tlhaisong ea boea. 
  Ha e le hlabula re kuta linku le lipoli,e be re rekisa boea ba tsona,`me re iphelisa ka chelate ena ea boea","They are also owners of different animals, such as cattle, sheep, goats, horses, donkeys. 
  
  
  In the summer we shear sheep and goats, we sell their wool, and we make a living from this wool",,
03:03-03:42,"Sekolong kena le lengolo la grade 12. 
  Ke lona lengolo la thuto le leholo leo ke nang le lona kaha ha nka ba ka atleha ho ea likolong tse phahameng","I have a grade 12 certificate. 
  That's the highest education I have because I was not able to continue with school.",,
03:55-04:45,"Tichere e bile bohlokoa bophelong baka ha ntse ke kena sekolo e ne e le mosuoe hlooho sekolong moo. 
  Ha ngata ha ke ne ke fosa o ne a nkhalemela ka ho nshapa,e le ho npontsa hore ke fositse kapa ke ntse ke fosa.","A teacher that was important in my life during my school days was the head master of the school I attended 
  Many times when I was wrong, he scolded me by beating me, in order to show me that I was wrong.",,
04:46-05:00,"Ke ena motho ea neng a buoa le `na ka linako tsohle,ea nratang","This is the person who talked to me all the time, who loved me.",,
05:17- 05:56,"Ha ntse ke hola toro eaka e ne e le ho ba akhente. 
  Ke ne ke batla ho ithuta ka molao. 
  Hona joale ke se ke rata ho ba rakhoebo kaha ha nka ba ka tsoelapele ho ithutela ho ba akhente.","Growing up my dream was to be a lawyer.
  
  I wanted to study law. 
  Now I want to be an entrepreneur as I can continue to study to be a lawyer.",,
05:57-07:05,"Ke na le toro ea ho ba le lebenkele le leholo,le likoloi tsa baeti. 
  Linke baeti Lesotho lena kaofela,ho ba isa moo ba hlokang ho ea teng.","I have a dream to have a big grocery store, and start a transport business. 
  My aim is to take tourists who come to Lesotho to all places they need to go",,
07:06-07:40,"Liqholotso tseo ke kopaneng le tsona ha ke ne ke tlameha ho tsoelapele ka lithuto tsaka,ke hobane ke ne ke sa sebetsa hantle sehlopheng sa grade 12.","The challenges I encountered when I had to continue with my studies, is because I did not perform well in grade 12.",English · He Did not repeat it in Sesotho,
07:57-08:21,"Ke ne ke ntse ke batla ho boela sekolong hape ho lo lokisa lithuto tseo ke sa sebetsang hantle ho tsona,empa batsoali ba ne ba sena chelete ea hore ke boele ke ee sekolong hape.","I still wanted to go back to school to make up for the lessons that I did not do well in, but my parents did not have the money for me to go to school again.",,
08:39-09:31,"Melemo ea ho ba le waterfall mona Semonkong e mengata haholo ka ha Basotho ba fumana melemo e mengata hotsoa teng. 
  E meng ea melemo ke hore ho tla bahahlauli ba bangata,`me ba siea chelate ho Basotho ka ha ba reka lintho tsa Basotho. 
  Hape Basotho ba fumana molemo ka hore hirisa lipere le litonki ho bahahlauli. 
  Ba boetse ba hirisa le matlo a boroko ho bahahlauli.","The benefits of having a waterfall here in Semonkong are many as the Basotho get many benefits from it. 
  One of the advantages is that many tourists come, and they leave money to the Basotho because they buy Basotho products. 
  
  The Basotho also benefit from renting horses and donkeys to tourists. 
  
  They also rent out dormitories to tourists.",,
09:32-10:08,"Ba boetse ba bopa le setsoalle lipakeng tsa bona le bahahlauli. 
  Basotho ba ithuta le lipuo tse fapaneng. 
  Basotho ba fumana le mesebetsi e fapaneng, mohlala ho lokisa `mila hore o be motle hore baeti ba tsebe ho tsamaea hantle.","They also create friendships between themselves and tourists. 
  Basotho also learn different languages. 
  
  Basotho also get different jobs, for example to prepare the road so that it is good so that the visitors can travel well.",,
10:09-10:42,,,*no content(question),
10:43-11:42,"Ho ba monna Mosotho ke ntho e bohlokoa haholo. 
  Ho bolela hore o hlooho ea lelapa,ke oena ea sebetsang le ho hlokomela lelapa. 
  Monna Mosotho o tlameha ho ea lebollong. 
  Bohlokoa ba ho ea lebollong ke hore","Being a Mosotho man is very important. 
  
  It means that he is the head of the family, he is the one who works and takes care of the family. 
  A Mosotho man must go to the initiation school.",,
11:43-12:21,"ka nako ea mathata o khone ho mamella mathata. 
  O khone ho hlokomela le ho ts`ireletsa lelapa. 
  O ts`ereletse naha ea Lesotho le Basotho.","The importance of going to the cross is that in times of trouble you can endure difficulties. 
  He is able to take care of and protect the family. 
  He defended the country of Lesotho and Basotho",,
12:22-13:21,,,question,
13:22-14:31,,,english,
14:32-15:21,"Se nketsang hore ke be motlotlo ka ho ba Mosotho ke hore re na le naha e kholo haholo. 
  Re phela ka Khotso. 
  Ha hona botsotsi joaloka linaheng tse ling. 
  Re lokolohile ho etsa ntho engoe le e ngoe. 
  Re ea naheng ka ha re na le liphoofolo tse ngata.","What makes me proud to be Mosotho is that we have a very big country. 
  
  We live in Peace. 
  There is no crime like in other countries. 
  We are free to do anything. 
  We go to the country because we have many animals.",,
17:19-18:00,,"I think Lesotho has big, beautiful mountains.Mountains are very important to the Basotho because long ago the first King Moshoeshoe climbed to the top of the mountain when he was hiding from the enemies with whom he was at war.King Moshoeshoe defeated the enemies by throwing stones at the top of the mountain and killing them when they were trying to climb the mountain.That mountain is called Night Mountain.",,
20:13-21:00,,"Basotho in ancient times, when a war hero died, he was buried with his war spears. People did this because they believed that wherever he goes he is still fighting The horses that are now in Lesotho come from other countries, as the Basotho used to ride cows. 
 
 In the past, the Basotho used cattle to ride and perform other tasks such as going to the shops, planting, carrying heavy things, such as maize meal. 
 
 Long ago even dead people were transported from place to place using cattle. 
 
 
 
 But in today's years, the Basotho are using horses to complete their journeys and for other purposes. 
 
 Horses were brought to Lesotho, they were not there yet, that is why basotho used cattle.",,
22:37-23:14,,"The horses that are now in Lesotho come from other countries, as the Basotho used to ride cows. 
 
 In the past, the Basotho used cattle to ride and perform other tasks such as going to the shops, planting, carrying heavy things, such as maize meal. 
 
 Long ago even dead people were transported from place to place using cattle. 
 
 
 
 But in today's years, the Basotho are using horses to complete their journeys and for other purposes. 
 
 Horses were brought to Lesotho, they were not there yet, that is why basotho used cattle.",,
24:37-25:00,,"The message I can give to the whole world is that, nature is an important thing, it refreshes, it gives life.
  
 I would strongly encourage people from other countries to come to Lesotho especially Semonkong lodge to see the beautiful big mountains, the waterfall, and the caves where the bush men (san) lived. 
 They will also know about the history of Lesotho and who the Basotho are and where they come from",,
 09:32-10:20,"Basotho bana le katiba eo e leng ea bona e bitsoang mokorotlo. 
 Ke katiba e bonts`ang naha ea Lesotho. 
 Lesotho ke naha e lithaba li ngata,li telele. 
 Katiba ena e bonts`a thaba-bosiu,e leng thabeng eo Morena Moshoeshoe a neng a balehela teng ha ba lireng ba mohlasela Nakong ea lintoa tsa lifaqane.","Basotho have a hat that is called mokorotlo.
  It is a hat that represents the country of Lesotho. 
 Mokorotlo was made in the image of a mountain called Qiloane. 
 Thaba-qiloane is one of the most beautiful mountain in Lesotho.",,
10:20-11:20,"Hape katibeng ena ea mokorotlo ho hlaile thabaqiloane. 
 Thaba-qiloane ke engoe ea lithaba tse ntle tse teng Lesotho. 
 Sebaka se bitsoang thaba-bosiu ke sebaka se hlomohehang haholo Lesotho kaha ke moo marena a maholo a Lesotho a pateloang teng ha ba hlokahetse.","It also represents the fortress of the founder of the Basotho nation.
 That is where Moshoeshoe won his wars historically.",,
11:21- 12:00,"Ke sebaka seo khale Basotho ba neng ba its`ireletsa ho sona khahlanong le lira tsa bona.
  Hape ke sebaka se hlomphehang nalaneng ea Basotho.",Moshoeshoe used a bow and arrow as a weapon of war. He used to roll down big stones down to his enemies from up the mountain.,*Missing English translation..I have added more content. Refer to red coloured notes,
12:01- 13:00,"Hape ke sebaka se hlomphehang nalaneng ea Basotho
  
  
 Katiba ena mokorotlo e haheile bothaba.","Thaba bosiu is a royal burial place of Basotho.
 The mountain has played a major role in the formation of the Basotho nation.
 The mokorotlo hat resembles mountains in shape",,
13:03-13:26,,,No content,
13:26-14:01,,I will need to make more research on the Mokorotlo hat. I can only provide this much information thank you.,,
14:02-14:59,,,,
15:11-15:41,"Basotho ke batho ba nang le likobo tseo e leng tsa bona feela. 
 Kobo ke seaparo sa Basotho ho tloha khale Basotho ba thehiloe.","Basotho are people who have their own type of blankets. 
 Basotho have been wearing blankets for a long time",,
15:41-17:35,,,No translation Could be insignificant,
17:36-18:03,"Hona le likobo tse nang le lits`oants`o tsa lithaba tsa Lesotho,marena a Lesotho, metse ea Lesotho, liphoofolo tsa Lesotho. 
 Re na le mefuta e mengata e fapaneng Lesotho, hape li na le meelelo e fapaneng.","Basotho blankets have different pictures on them some are mountains of Lesotho, kings of Lesotho, cities of Lesotho, animals of Lesotho. 
 We have many different types in of blankets in Lesotho, and they have different meanings.",,
