Start Time,End Time,EN,ES,Highlight,Comments,Speaker
26:41,26:45,"Since ancient times it has been transmitted like this,
he must face the woman during the dance","Desde la antigüedad se ha transmitido así,
él debe mirar de frente la mujer en el baile",,,pinta abuela
26:47,26:55,"Likewise, the woman goes straight ahead, that's why she avoids him,
or they cross paths to make him take more turns seeking her, making him tired","Así mismo la mujer va de frente por eso ella lo esquiva
o se entrecruzan para que el de más vueltas buscándola
haciendo que se canse",,,pinta abuela
26:56,27:02,"It is known that several steps are shown in the yonna
Can you talk to us about that?","Se sabe que en la yonna se muestran varios pasos
¿Puedes hablarnos sobre eso?",,,pinta abuela
27:08,27:15,"Yes, there are several steps, for example the horse race",Sí hay varios pasos por ejemplo el de carrera de caballo,,,pinta abuela
27:16,27:19,"If a girl stands out in that step, her makeup goes
according to that","Si una chica se destaca en ese paso, su maquillaje va
acorde a eso",,,pinta abuela
27:20,27:28,"And when they see her, they immediately recognize her by her ability.
in that step because each one has a specialty","Y cuando la ven enseguida la reconocen por su habilidad
en ese paso porque cada una tiene una especialidad",,,pinta abuela
27:29,27:34,"The pace of the horse race is very traditional,
although not very common","El paso de la carrera de caballo es muy tradicional,
aunque muy poco se ve",,,pinta abuela
27:36,27:39,Today they are taking it up again,Hoy en día los están retomando otra vez,,,pinta abuela
27:41,27:44,"Because that step was taken from horse racing
and they played with imitating it","Porque ese paso fue tomado de las carreras de caballo
y jugaban con imitarlo",,,pinta abuela
27:45,27:51,By imitating it they adopted it at the dance,Al imitarlo lo adoptaron en el baile,,,pinta abuela
27:52,27:55,"That's right, well she just talked about the yonna, about
tradition, bordering on the concept of the circle","Así es, bueno ella acaba de hablar de la yonna, de
la tradición, rozando el concepto del círculo",,,pinta abuela
27:56,28:04,ok ma'am thank you,Bueno señora gracias,,,pinta abuela
28:33,28:36,Thank you for talking about our culture,Que gracias por hablar sobre nuestra cultura,,,pinta abuela
28:37,28:42,What was recorded so it stays later for the children,Lo que se grabó para quedar más adelante para los niños,,,pinta abuela
28:44,28:47,"So that when you are not here, they can say that they have at least the recording of their grandmother's words","Para cuando ustedes no estén, ellos digan que tienen por
lo menos la grabación de las palabras de su abuela",,,pinta abuela
28:52,28:59,"Because the words are there, but, they can be
forgotten too","Porque las palabras están, pero, puede ser
olvidada también",,,pinta abuela
29:03,29:08,"Of course, because nobody saves them and that is why they are forgotten","Claro, porque nadie las guarda y por eso se olvida",,,pinta abuela
29:09,29:13,"Yes, but now it is recorded on the camera and that
you will see it later","Si, pero ahora queda grabado en la cámara y eso
lo verán más adelante",,,pinta abuela
29:20,29:27,"Yes, the children become Westernized, at least one of
Takes an interest in culture","Sí, los niños se occidentalizan por lo menos uno de
ellos se interesen por la cultura",,,pinta abuela
29:28,29:30,"And if they wonder how our culture was like, they
Surely can find an answer in the recording","Y se pregunte cómo era nuestra cultura de seguro
en la grabación encontrará respuesta",,,pinta abuela
29:31,29:38,"Yes, surely in the future children will wonder about
the stories and tales that you’re sharing with us","Si, de seguro en un futuro los niños se preguntarán sobre
las historias y los relatos que nos dan a conocer",,,pinta abuela
29:42,29:45,"Yes, because today's children do not follow
the teaching of our elders","Si porque los niños de hoy en día no siguen
la enseñanza de nuestros viejos",,,pinta abuela
29:46,29:52,"Yes, it is true, see that there are no children in si'ira anymore
(wayúu weaving) and these are very necessary to keep us","Sí, es cierto, mira que ya no hay niños en si´ira
(fajón wayúu) y esos son muy necesarios para mantenernos",YELLOW (7),,pinta abuela
29:53,29:59,The kou'su (wayúu footwear) is no longer used now either,El kou'su (calzado wayúu) ya no se utiliza ahora tampoco,,,pinta abuela
30:00,30:05,that was our identity,Esa era nuestra identidad,,,pinta abuela
30:06,30:11,She just spoke about the importance of preserving and preserving identity.,Ella acaba de hablar sobre la importancia de conservar y preservar la identidad.,,,pinta abuela
30:34,30:36,Maybe a message you want to take to the world,Tal vez un mensaje que quiera llevar al mundo,,,pinta abuela
30:40,30:45,Kids these days,Los niños de hoy en día,,,pinta abuela
30:50,30:55,They don't own their culture as much as before,No se apropian tanto de la cultura como antes,,,pinta abuela
30:56,31:05,"In the past people respected each other, they lived in peace and harmony","Antes las personas se respetaban, se convivía en paz y armonía",,,pinta abuela
31:06,31:10,Nowadays nephews want to hit their uncles,Hoy en día los sobrinos quieren golpear a sus tíos,,,pinta abuela
31:11,31:15,No respect even for older brothers,No hay respeto ni siquiera por los hermanos mayores,,,pinta abuela
31:16,31:20,"It is the same with women, they no longer respect
their older brothers","Así mismo es con las mujeres, ya no respetan a
sus hermanos mayores",,,pinta abuela
31:21,31:23,We ourselves have affected our culture,Nosotros mismos hemos afectado nuestra cultura,,,pinta abuela
31:24,31:32,"If they asked you what your message would be to talk and
strengthen our culture? what would you say","Si te dijeran ¿cuál sería tu mensaje para conversar y
fortalecer nuestra cultura? Qué dirías.",,,pinta abuela
31:33,31:39,"It is what they want to hear, to know how to reaffirm
what we are as wayuu","Es lo que quieren escuchar, para saber cómo reafirmar
lo que somos como wayuu",,,pinta abuela
31:52,31:58,"Because even the Wayúu youth of today
devalue our culture","Porque hasta los jóvenes wayúu de hoy en día
desvalorizan nuestra cultura",,,pinta abuela
32:01,32:04,"Before, young people respected their uncles",Antes los jóvenes respetaban a sus tíos,,,pinta abuela
32:06,32:12,"If an uncle caught his nephew's attention,
he was silent and listened","Si un tío le llamaba la atención a su sobrino,
este se callaba y escuchaba",,,pinta abuela
32:13,32:20,He waited for their uncle to finish talking and didn't answer him,Él esperaba a que si tío terminara de hablar y no le contestaba,,,pinta abuela
32:21,32:27,"Today's young kids, like you, don't like
being called out and wish harm upon their mothers","Los jóvenes de hoy en día como tú no les gustan que
le llamen la atención y le desean el mal a su madre",,,pinta abuela
32:30,32:38,"Today's children and young people must highlight
the role of their uncle when they are in a conflict","Los niños y jóvenes de hoy en día deben resaltar
el papel de su tío cuando están en un conflicto",,,pinta abuela
32:40,32:47,"But that depends on us mothers, we must
enhance those values and principles","Pero eso depende de nosotras las madres, debemos
inculcarles esos valores y principios",,,pinta abuela
32:48,32:52,Although they do not value our teachings,Aunque ellos no valoren nuestras enseñanzas,,,pinta abuela
32:53,32:59,"And I know why I'm saying because I see it, I don't say it just because","Y se lo que estoy diciendo porque lo veo, no lo digo por decir",,,pinta abuela
33:06,33:06,"Well, more than a message for the world is a message for the culture itself","Bueno, más que un mensaje para el mundo es un mensaje para la misma cultura",,,pinta abuela
33:08,33:12,We need to return to the times of the past,Que hay que volver a los tiempos de antes,,,pinta abuela
33:13,33:22,Where respect was the main value of culture,Donde el respeto era el valor principal de la cultura,,,pinta abuela
33:23,33:26,"In these moments we have already lost our children, they do not want to respect us",En estos momentos ya hemos perdido a nuestros niños no quieren respetarnos,,,pinta abuela
33:27,33:29,Our uncles are already disrespecting each other,Ya nuestros tíos se están irrespetándose,,,pinta abuela
33:30,33:35,"Then it is to return to teach the new generations, that we return to be Wayúu in humanity.","Entonces es volver a enseñar a las nuevas generaciones, que volvamos a ser wayúu en la humanidad.",,,pinta abuela
33:36,33:37,Thank you,Gracias,,,pinta abuela
33:38,33:42,Thank you very much he says.,Que muchas gracias les dice.,,,pinta abuela
