Start Time,End Time,EN,ES,Highlight,Comments
00:17:01:10,00:17:04:18,"each hill has a meaning, it is not there","cada cerro tiene un sentido, no está ahí",,
00:17:04:19,00:17:07:23,"capriciously, it is not part of a promontory.","caprichosamente, no es parte de un promontorio.",,
00:17:08:24,00:17:12:05,"In fact, the Wayuú share with the Australians,","De hecho, los wayú comparten con los australianos,",,
00:17:12:06,00:17:15:01,"with the Australian aborigines, the idea that","con los aborígenes australianos, la idea un poco de que",,
00:17:16:16,00:17:19:05,life is somewhat part of the intention of the place.,la vida es parte de la intención del lugar.,,
00:17:20:11,00:17:22:21,"A product not just of the land, but","Un producto de, ya no la tierra como,",,
00:17:23:02,00:17:25:29,"the place, the specific place.","sino el lugar, del lugar específico.",,
00:17:26:26,00:17:31:08,"And there are some places that are called, and that are",Y hay unos lugares que se llaman y que son,,
00:17:32:17,00:17:35:11,the holes like the vaginas of the earth,los agujeros como las vaginas de la tierra,,
00:17:35:12,00:17:37:26,"by which a lineage, not all humans,","por la cual un linaje, no todos los humanos,",,
00:17:38:12,00:17:41:26,a specific human lineage came into the world.,"un linaje específico humano, vino al mundo.",,
00:17:41:27,00:17:43:14,It emerged into the world.,Surgió al mundo.,,
00:17:43:17,00:17:47:21,"These are called territorial roots,
as heads of the territory.","Eso se llaman como raíces territoriales,
como cabezas del territorio.",,
00:17:47:22,00:17:50:23,And each Wayuú lineage has one in the,Y cada linaje wayú tiene uno en la,,
00:17:50:24,00:17:51:14,"upper Guajira,","alta Guajira,",,
00:17:51:14,00:17:54:10,"They are water holes or water depressions,","Son agujeros de agua o depresiones de agua,",,
00:17:54:26,00:17:58:16,"through which it came out, emerged from the Earth,","por los cuales se salió, se emergió de la tierra,",,
00:17:59:02,00:17:59:20,the world.,el mundo.,,
00:18:01:18,00:18:02:28,And that is very important in the,Y eso es muy importante en la,,
00:18:02:28,00:18:04:21,Wayuú territoriality.,territorialidad wayú.,,
00:18:04:22,00:18:07:03,The cemeteries,Los cementerios,,
00:18:07:11,00:18:09:00,are important,son importantes,,
00:18:09:01,00:18:12:24,"because they are the way to renew
a pact with the territory","porque son la forma de renovar
un pacto con el territorio",,
00:18:14:17,00:18:15:25,through the corpses.,a través de los cadáveres.,,
00:18:15:26,00:18:20:19,"I return the bodies to you
and I express my will to live here","Yo te devuelvo los cuerpos
y expreso mi voluntad de vivir aquí",,
00:18:21:02,00:18:24:19,"because I'm burying my relatives here,","porque estoy enterrando a mis familiares aquí,",,
00:18:25:12,00:18:28:01,"I come to this place, marks the world.","vengo a este lugar, marca el mundo.",,
00:18:28:02,00:18:32:13,"Yeah, that's a very, very key thing between that","Sí, eso es una cosa muy, muy clave entre ese",,
00:18:32:14,00:18:36:25,world of the Samarians. There's a,mundo de los samarios. Hay un,,
00:18:36:26,00:18:39:00,"poem, there is a beautiful poem.","poema, hay un poema hermoso.",,
00:18:39:01,00:18:42:18,"Let me see if I can find it for you, because sometimes the literature
illuminates more,","Dejame ver si te lo busco, porque la literatura
a veces ilumina más,",,
00:18:43:01,00:18:45:12,as much as anthropology.,tanto como la antropología.,,
00:18:45:22,00:18:47:08,Yes.,"Sí, sí.",,
00:18:47:09,00:18:49:26,The poem. I don't know if you have read Vito Apshana,El poema. No sé si has leído a  Vito Apshana https://www.festivaldepoesiademedellin.org/es/Revista/ultimas_ediciones/57_58/apshana.html,,
00:18:49:27,00:18:51:02,No,No,,
00:18:51:02,00:18:54:16,I advise you to read it.,Te aconsejo que lo leas.,,
00:18:56:06,00:19:00:24,He is a great Wayuú poet.,Es un gran poeta wayú.,,
00:19:00:25,00:19:02:19,I'm going to put it here.,Voy a ponerlo aquí.,,
00:19:02:20,00:19:04:28,"I mean, the newcomer.","Digo, el recién llegado.",,
00:19:04:29,00:19:08:10,And he has a poem.,Y tiene un poema.,,
00:19:09:05,00:19:11:14,and the newcomers,Y los recién llegados,,
00:19:23:05,00:19:28:25,poetic and,poética y.,,
00:19:29:13,00:19:30:26,“Ancient newcomers”,“Antiguos recién llegados”,,
00:19:30:26,00:19:33:15,I recommend you this poem,Te recomiendo esa obra,,
00:19:34:00,00:19:35:21,Vito Apshana.,Vito Apshana.,,
00:19:37:15,00:19:41:01,"Yes, he has one,","Si él tiene un,",,
00:19:44:12,00:19:45:18,some very Wayuú poems,unos poemas muy,,
00:19:45:18,00:19:48:23,"Within the Wayuú ontology and thought,","wayuú dentro de la ontología y el pensamiento wayú,",,
00:19:49:24,00:19:52:29,So one of the themes is that of the Earth.,entonces uno de los temas es el de la Tierra.,,
00:19:53:24,00:19:55:25,"Well, he has a lot about Earth.","Bueno, tienen mucho de la tierra.",,
00:19:55:26,00:19:57:20,"But,","Pero,",,
00:19:57:27,00:20:01:29,but I like this one a lot.,pero este me gusta mucho.,,
00:20:02:00,00:20:05:10,"Yes, Ancient newcomers.","Sí, Antiguos recién llegados.",,
00:20:05:11,00:20:07:26,Here it is,Aquí está,,
00:20:09:25,00:20:11:01,I can,Yo te lo,,
00:20:11:20,00:20:19:02,I send it to you,puedo mandar.,,
00:20:19:03,00:20:20:13,Here it is.,Aquí está.,,
00:20:22:14,00:20:24:28,And I send it to you.,Y te lo mando.,,
00:20:24:29,00:20:26:02,So that,Para que,,
00:20:33:21,00:20:37:18,the people of La Guajira right?,la gente de La Guajira verdad?,,
00:20:37:19,00:20:40:16,"Yes, is here. I already sent you the link.","Sí, aquí está. Ya te lo mandé el link.",,
00:20:40:25,00:20:41:15,You can get in there,Ahí te puedes meter,,
00:20:42:07,00:20:46:02,It's very beautiful.,ahí te puedes meter entonces es muy bello.,,
00:20:46:05,00:20:48:25,"Yes, yes, very beautiful. His texts.","Sí, sí, muy bello. Los textos de él.",,
00:20:49:14,00:20:52:17,He is coming here today.,Él viene hoy a aquí.,,
00:20:52:18,00:20:56:10,"Yes, he comes today, he is in Bogotá, he will come today","Si él viene hoy, el está en Bogotá, va a venir hoy",,
00:20:57:13,00:20:59:21,and I can give you the,y yo te puedo dar el.,,
00:20:59:22,00:21:01:05,contact to interview you.,Contacto para que lo entreviste.,,
00:21:01:06,00:21:02:20,One of these days.,En estos días.,,
00:21:02:20,00:21:07:01,"And yes, do an interview talking about his poems.","Y sí, hacer una entrevista contando sus poemas.",,
00:21:07:18,00:21:10:14,"His poems about the Earth are excellent, powerful","Y ese poema de la tierra, los poemas.",,
00:21:10:15,00:21:15:03,"From the earth, from a very good, powerful sun,
a message.","De la tierra de él son buenísimos, poderosos,
un mensaje.",,
00:21:15:20,00:21:17:26,"That well, one verse sums up everything we have been talking","Que bueno, en un verso resume todo lo que hemos.",,
00:21:17:27,00:21:18:25,about,Hablado.,,
00:21:18:26,00:21:21:29,That's what poetry has.,Eso la poesía tiene.,,
00:21:22:26,00:21:25:03,"That gift, that strength","Ese don, esa fuerza",,
00:21:27:12,00:21:30:18,"Something beyond scientific words
or the words.","Algo más allá que las palabras científicas
o las palabras.",YELLOW (7),
00:21:30:19,00:21:34:18,"Yes, yes, yes, that's right.","Sí, sí, sí, así es.",,
00:21:34:19,00:21:44:17,And “Ancient newcomers”,Y antiguos recién llegados.,,
00:21:44:18,00:21:46:24,Then you get the whole book.,Entonces consigues el libro entero.,,
00:21:46:26,00:22:32:20,I'm looking for poems by him.,Estoy buscando poemas de él.,,
00:22:32:21,00:25:29:00,"Yes, poetry.","Ya, poesía.",,
00:25:29:03,00:25:30:16,"And well, I","Y bueno, yo",,
00:25:30:25,00:25:33:19,I sent you the link and I can give you the contact.,te mandé el link y te puedo pasar el contacto.,,
00:25:33:20,00:25:36:20,"I talk to him today I tell him you are here,
How long will they be there?","Yo hablo con él hoy le digo ustedes están aquí,
¿hasta cuándo van a estar?",,
00:25:37:04,00:25:40:09,"We are in La Guajira, surely a","Estamos en La Guajira, seguramente una",,
00:25:40:10,00:25:42:29,two more weeks,dos semanas más,,
00:25:43:12,00:25:46:10,"He's going to last nine days here, he's going to be busy,
but I know that","Él va a durar nueve días aquí, va a estar ocupado,
pero yo sé que",,
00:25:47:01,00:25:49:11,He can take the time to talk to you.,puede sacar el rato para hablar con ustedes.,,
00:25:50:08,00:25:51:02,Because it is that he,Porque es que el,,
00:25:51:02,00:25:53:07,President is coming tomorrow.,Presidente viene mañana.,,
00:25:54:20,00:25:55:09,Petro. and is going to,Petro. y va a,,
00:25:55:09,00:25:57:22,"spend a week in La Guajira,","estar una semana en la Guajira,",,
00:25:57:23,00:25:59:12,A shaman?,¿Un chaman?.,,
00:25:59:13,00:26:00:15,One week.,Una semana.,,
00:26:00:16,00:26:01:23,"Oh, a week.",Ah una semana.,,
00:26:01:23,00:26:04:05,He will rule for a week from here,Va a gobernar una semana desde aquí,,
00:26:04:06,00:26:06:10,then all the ministers come.,entonces vienen todos los ministros.,,
00:26:06:11,00:26:09:16,"They are going to be in Alta Guajira,
There are going to be many meetings with the population.","Van a estar en la Alta Guajira,
va a haber muchas reuniones con la población.",,
00:26:09:17,00:26:10:16,Wayuú.,wayú.,,
00:26:10:17,00:26:12:18,"With the population of the mountains, too.","Con la población de la sierra, también.",,
00:26:12:19,00:26:14:19,About the zoo?,¿Acerca del parque zoológico?,,
00:26:14:20,00:26:18:04,"That is a good point, there are other points in water,","Ese es un punto bueno, hay otros puntos el agua,",,
00:26:18:05,00:26:21:12,"malnutrition of children, health,","la desnutrición de los niños, la salud, la",,
00:26:21:13,00:26:22:12,"education,","educación,",,
00:26:24:06,00:26:25:23,they have other topics.,"viene, tienen otros temas.",,
00:26:25:23,00:26:29:08,"Water is key, the issue of water is fundamental.","El agua es clave, el tema del agua es fundamental.",,
00:26:29:19,00:26:31:09,But the theme about the parks too.,Pero el tema de los parques también.,,
00:26:31:10,00:26:36:08,"They go to work
to see if they reach an agreement.","Van a trabajar
a ver si llegan a un acuerdo.",,
00:26:36:20,00:26:39:09,And how long will you be here too?,¿Y cuánto tiempo estará usted acá también?,,
00:26:39:10,00:26:41:10,I'll be there until Friday.,Yo voy a estar hasta el viernes.,,
00:26:41:10,00:26:42:26,Until Friday?,¿Hasta el viernes?,,
00:26:42:27,00:26:45:17,"Yes because there is a festival in Bogotá, Festival Gabo.","Sí porque hay un festival en Bogotá, Festival Gabo.",,
00:26:46:08,00:26:48:12,and then I'm going to go to,y entonces voy a ir al,,
00:26:48:13,00:26:49:05,"festival, I have","festival, tengo",,
00:26:49:05,00:26:52:12,a conversation there for Bogotá. Yeah.,un conversatorio allá para Bogotá. Sí.,,
00:26:52:22,00:26:58:01,"It would be nice, maybe and we can come again
and make an interview recorded.","Sería bueno, tal vez y podemos ir de nuevo
y hacer una entrevista como grabada.",,
00:26:58:02,00:27:02:01,"Whenever you want, you tell me, let's set the date and here in the
house if you like.","Cuando quiera me dicen ponemos el día y aquí en la
casa, no.",,
00:27:02:02,00:27:03:29,"I know, here, here it is very nice.","Sé, aquí, aquí es muy lindo.",,
00:27:04:00,00:27:09:24,"I think we can do two
one here and one outside, there the Earth itself.","Yo creo que podremos hacer dos
uno aquí y uno fuera, ahí la tierra misma.",,
00:27:10:02,00:27:12:26,That's where such. Maybe it's not Monday or Tuesday.,Ahí es donde tal. Vez no sea el lunes o martes.,,
00:27:12:27,00:27:14:03,If you have time.,Si tienes tiempo.,,
00:27:14:04,00:27:16:26,"And Tuesday can be Tuesday,
because on Monday it may be very.","Y martes puede ser martes,
porque el lunes quizás esté muy.",,
00:27:16:27,00:27:19:15,"Still busy, but can. It will be Tuesday.","Ocupado todavía, pero puede. Ser el martes.",,
00:27:19:24,00:27:22:19,"Let's do Tuesday, then. Of course.","Hagamos el martes, entonces. Claro que sí.",,
00:27:22:21,00:27:26:19,Something before that I wanted to ask him.,Algo antes de eso de que le quería preguntar.,,
00:27:27:21,00:27:30:06,One approach of ours is,Un enfoque de nuestro es bueno.,,
00:27:30:21,00:27:33:21,Who should tell a story how should it be told?,"Quién
debe contar una historia de cómo debe estar contado?",,
00:27:33:26,00:27:34:13,Of course.,Claro.,,
00:27:34:14,00:27:38:07,"And last night or the night before, the day before yesterday","Y la última noche o la noche antes, anteayer",,
00:27:38:14,00:27:42:13,"there was talk about how good
Gabo's story,","se estaba hablando de que tan bueno
la historia de Gabo, de",,
00:27:42:20,00:27:46:19,"I don't remember the name of the book
but because it was from a perspective within the Wayuú.","no me acuerdo el nombre del libro,
pero porque era de una perspectiva dentro de.",,
00:27:46:20,00:27:49:08,La Cándida Eréndira.,La Cándida Eréndira.,,
00:27:49:09,00:27:53:14,"Yes, that one. And so what we're doing is on Wednesday,","Y entonces lo que estamos haciendo es miércoles,",,
00:27:53:15,00:27:57:14,"We are going to meet with a young Wayuú, his name is","vamos a reunir con un joven wayú, se llama",,
00:27:57:25,00:27:58:21,Neko.,Neko.,,
00:27:59:04,00:28:01:27,Neko is,Neko es.,,
00:28:01:28,00:28:05:06,"It is from near Manaure, where there is a ranch.","Es de cerca de Manaure, donde una ranchería.",,
00:28:05:07,00:28:08:07,"There we had the contact of a friend and well,","Ahí tuvimos el contacto de un amigo y bueno,",,
00:28:08:08,00:28:12:18,He is a director starting out in cinema and he,él es un director empezando en el cine y él,,
00:28:12:19,00:28:16:00,He is going to be like our director for this chapter.,va a ser como nuestro director a este capítulo.,,
00:28:16:13,00:28:17:14,Well.,Bueno.,,
00:28:17:15,00:28:19:25,"I have a friend, David Hernández.","Tengo un amigo, David Hernández.",,
00:28:19:26,00:28:25:06,"David Fernández also directs
He has made documentaries about the Wayuús","David Fernández también dirige hace
ha hecho documentales sobre los Wayuú",,
00:28:25:07,00:28:26:12,"He’s made videos, he’s made movies","Ha hecho videos, ha hecho películas",,
00:28:26:13,00:28:29:27,"Yes, Wayuú from Venezuela, David Hernández Palmar","Sí, wayuú de Venezuela, David Hernández Palmar",,
00:28:29:28,00:28:33:05,"No, a group of Wayuú youth has been formed here","No, aquí se ha formado un grupo de jóvenes wayuú",,
00:28:33:06,00:28:35:23,in that audiovisual world.,en ese mundo audiovisual estamos.,,
00:28:36:14,00:28:37:13,Seeing that there is a lot.,Viendo que hay mucho.,,
00:28:37:14,00:28:39:14,"So many, Leiqui Uriana.","Uf, Leiqui Uriana https://www.instagram.com/leicaruh/?hl=es",,
00:28:39:14,00:28:43:21,"The other girl, Polanco, Mile Polanco","La otra niña, Polanco, Mile Polanco",,
00:28:43:22,00:28:47:01,in Cabo de la Vela there is a collective.,Y en el Cabo de la Vela es un colectivo.,,
00:28:47:15,00:28:50:15,"Of young Wayú, but very good. Yeah.","De Jóvenes wayú, pero muy bueno. Sí.",,
00:28:51:25,00:28:54:29,They have played a very important role and.,Han hecho un papel muy importante y.,,
00:28:55:13,00:28:57:12,And that's fine.,Y eso está bien.,,
00:28:57:13,00:29:00:28,"Following that theme,
we wanted to ask you","Siguiendo ese tema,
entonces le queríamos preguntarle a usted",,
00:29:01:16,00:29:03:18,if you,si usted,,
00:29:04:06,00:29:06:23,"would make a wayuú documentary,","haría un documental de los wayuú,",,
00:29:07:14,00:29:10:15,"How would you do it,
Like I don't know what things",como no sé cuáles cosas,,
00:29:11:07,00:29:14:09,"would like, how to put, capture,","le gustaría, como poner, plasmar,",,
00:29:14:10,00:29:17:06,"explain, what would it be like I don't know,","exponer, cuál sería como no sé,",,
00:29:17:24,00:29:20:17,the story as such that I would believe,la historia como tal de que creería,,
00:29:21:18,00:29:23:01,There is an advantage with the world,Hay una ventaja con el mundo,,
00:29:23:01,00:29:25:19,Wayuú and it is that in,wayú y es que en,,
00:29:25:20,00:29:27:29,their cosmology are in the territory.,su cosmología están en el territorio.,,
00:29:28:25,00:29:33:05,"So when we go to a hill
like the Teta hill,","Entonces cuando vamos a un cerro
como el cerro de la Teta,",,
00:29:33:06,00:29:37:14,"that hill speaks to us,
He talks to us, he is telling us things.","ese cerro nos habla,
nos habla, nos está diciendo cosas.",,
00:29:38:20,00:29:40:26,"Every time you focus on an image,","Cada vez que enfocas una imagen,",,
00:29:40:27,00:29:43:18,only the image is telling us things,solo la imagen nos está narrando cosas,,
00:29:44:05,00:29:48:09,"and there are some popular hills,
I would say that there are about three tutelary hills,","y hay unos cerros populares,
yo diría que son unos tres cerros tutelares,",,
00:29:48:17,00:29:51:02,"the word would be tutelary, which are","la palabra tutelar, que son",,
00:29:51:28,00:29:56:01,"at Cabo La Vela,
a hill called Kamachi, the old. Epitsü that’s near Uribia","en el cabo de La Vela,
un cerro que se llama Kamachi
, el antiguo Epitsü",,
00:29:56:07,00:30:00:28,"which is the Teta Hill and in the upper part,
in La Macuira, there is hill Iitujolu, but those hills","que está por el Cerro de la Teta y en la alta,
en la máquina está el cerro Iitujolu
, pero esos cerros",,
00:30:00:29,00:30:06:08,"they are brothers,
They are hills that guard the territory,","son hermanos,
son cerros que custodian el territorio,",,
00:30:06:28,00:30:09:19,that give order and meaning to the territory.,que le dan un orden y un sentido al territorio.,,
00:30:09:20,00:30:12:23,"Now, there are other small hills that are very rich","Ahora, hay otros cerros pequeños que son muy ricos",,
00:30:12:24,00:30:16:28,"historically they are in the cape, you can see Bantu, Piirra and,","históricamente están en el cabo, puedes ver Bantú, pirra el cobo,",,
00:30:18:19,00:30:22:06,others are there near that one and there are many mythical places.,otros están ahí cerca de ese y hay muchos sitios míticos.,,
00:30:23:10,00:30:25:23,So I would focus a lot,Entonces yo enfocaría mucho,,
00:30:25:24,00:30:28:05,in the geographical,en los hitos,,
00:30:28:06,00:30:32:11,"Landmarks of the territory,
because each geographical landmark,","geográficos del territorio,
porque cada hito geográfico,",,
00:30:33:02,00:30:35:23,Their single image is already a set of stories.,"su sola imagen, ya son un conjunto de historias.",,
00:30:37:01,00:30:41:17,"He is speaking to us, as soon as you
focus on it, he is speaking.","Él nos está hablando y nos está
hablando al momento en que lo enfocas.",,
00:30:41:18,00:30:44:15,"And there is even a book that I don't know
if you know,","Y hasta hay un libro que yo no sé
si ustedes conocen,",,
00:30:45:08,00:30:48:25,"Small and simple, stories with GPS.","Pequeño y sencillo, relatos con GPS.",,
00:30:50:12,00:30:51:16,What is called Stories with GPS?,¿Que se llama Relatos con GPS?,,
00:30:51:16,00:30:53:15,Stories with GPS.,Relatos con GPS.,,
00:30:53:24,00:30:56:12,"No,","No,",,
00:30:56:13,00:31:01:08,"Yes, in fact, we just read it,
I believe because he quotes you a lot in fact.","Sí, de hecho,  lo acabamos de leer,
yo creo porque cita a a usted mucho de hecho.",,
00:31:01:09,00:31:03:03,In that there is,En eso sí hay,,
00:31:03:11,00:31:04:07,Stories with GPS,Relatos,,
00:31:04:08,00:31:05:07,Let me see if I send it to you,"Déjame ver si te lo mando,",,
00:31:05:07,00:31:08:00,"because it is a trip that I took,","Relatos, porque es un viaje que yo hice,",,
00:31:08:01,00:31:09:25,"I was the guide,","yo fui el guía,",,
00:31:10:00,00:31:12:08,"the Historical Memory Commission,","la Comisión de Memoria Histórica,",,
00:31:12:27,00:31:17:00,"they wanted to visit La Guajira
and they wanted me to show them that.","quería recorrer La Guajira
y quería que yo le mostrara eso.",,
00:31:17:07,00:31:19:18,"Well, here it is. This is the book.","Bueno, aquí está. Este es el libro.",,
00:31:20:19,00:31:21:29,Okay.,Okey.,,
00:31:22:00,00:31:24:21,"This is from the internet, it can be downloaded on the web.","Esto se consigue en internet, en la web se puede descargar.",,
00:31:24:24,00:31:28:11,I think maybe if we read this. Yes Yes.,Yo creo que tal vez si leímos esto. Sí. Sí.,,
00:31:28:12,00:31:30:06,"So this,","Entonces esto,",,
00:31:30:07,00:31:32:14,"This, for example, is the hill of Guososopo","esto por ejemplo, es el cerro de Guososopo",,
00:31:33:07,00:31:34:02,Guososopo,Guososopo,,
00:31:34:02,00:31:38:24,"It means our lungs,
because this is as if you","quiere decir nuestros pulmones,
porque esto es como si tú",,
00:31:40:15,00:31:43:01,"you would open a person's lungs, alive,","abrieras los pulmones de una persona, vivos,",,
00:31:43:20,00:31:45:23,and they would look like this pink.,y se verían así rosados.,,
00:31:46:15,00:31:51:26,"A Wayuú who in mythical times
He traveled from the Sierra Nevada,","Un wayuú que en tiempos míticos
viajó de la Sierra Nevada,",,
00:31:51:27,00:31:53:07,He traveled all this,viajo todo esto,,
00:31:53:08,00:31:54:12,and died of thirst,y se murió de sed,,
00:31:54:12,00:31:59:05,"in the desert,
Only his lungs were left, turned into hills.","en el desierto,
solo quedaron sus pulmones convertidos en cerros.",,
00:31:59:21,00:32:04:24,"So this hill is a story and it is a hill,
then like this","Entonces este cerro es una historia y es un cerro,
entonces así",,
00:32:05:02,00:32:07:22,"each one of those hills has a meaning,","cada uno de esas colinas tiene un sentido,",,
00:32:08:09,00:32:11:28,"has a story to tell,
so that's why we did it","tiene una narración que contar,
entonces por eso lo hicimos",,
00:32:11:29,00:32:15:25,"So, we traveled for three days stopping in each place,","así, viajamos por tres días parando en cada lugar,",,
00:32:15:26,00:32:19:13,"I told the mythical stories,
That is the story of this book.","yo contaba las historias míticas,
esa es la historia de este libro.",,
00:32:19:25,00:32:22:03,"Yes, yes.","Sí, sí.",,
00:32:22:04,00:32:23:26,"And in there, like this","Y ahí adentro, como esto está",,
00:32:24:29,00:32:27:06,they are inside there are,"ahí adentro están,",,
00:32:27:08,00:32:31:15,"So I would focus on that, if you want,","entonces yo les enfocaría, si quieren en eso,",,
00:32:32:28,00:32:35:06,work the territory very visually.,trabajar muy visualmente el territorio.,,
00:32:35:07,00:32:36:23,"Sometimes they focus on homes and yes,",A veces se centran en las viviendas y si,,
00:32:36:24,00:32:41:03,"homes are important,
but there are multiple, thousands of homes.","las viviendas son importantes,
pero hay múltiples, miles de viviendas.",,
00:32:41:15,00:32:46:01,"Instead, these places,
talk to those background places,","En cambio, estos lugares,
hablar con esos lugares de trasfondo,",,
00:32:46:02,00:32:46:29,the sea too,el mar también,,
00:32:49:02,00:32:51:15,or a territorial root.,o una raíz territorial.,,
00:32:51:26,00:32:54:24,"There is a stone, the stone of Aalasü
that is up there,","Hay una piedra, la piedra de Aras
que está allá arriba,",,
00:32:56:08,00:32:57:22,"that stone is mythological,","esa piedra es mitológica,",,
00:32:57:22,00:32:59:23,"there are all the family clan emblems,","están todos los emblemas clanines,",,
00:33:00:24,00:33:02:25,That stone tells us a lot.,esa piedra nos dice mucho.,,
00:33:02:26,00:33:06:03,Let's see if I have it here.,Vamos a ver si la tengo aquí.,,
00:33:06:04,00:33:09:21,If I have it.,Si la tengo.,,
00:33:09:22,00:33:13:29,"It seems that no, I don't have it here,","Parece que no, que no la tengo aquí,",,
00:33:14:20,00:33:17:07,but I'm going to put it,pero ya la voy a poner,,
00:33:17:13,00:33:21:19,Ancient newcomers. Is…,antiguos recién llegados. Es…,,
00:33:27:26,00:33:29:13,so that's my idea.,entonces esa es mi idea.,,
00:33:29:13,00:33:30:05,"Now,","Ahora,",,
00:33:30:26,00:33:33:05,There are trees that tell us a lot.,hay árboles que nos dicen mucho.,,
00:33:33:06,00:33:33:17,Also.,También.,,
00:33:33:18,00:33:38:01,"Because they are stories about trees
and a beautiful, fundamental, very common tree","Porque son historias de árboles
y un árbol bello, fundamental, muy común",,
00:33:38:02,00:33:40:27,"here is Trujillo, it's called Aipia.","aquí es el Trupillo, se llama Aipia.",,
00:33:41:16,00:33:44:06,His task was to heal,Su tarea era curar,,
00:33:44:07,00:33:46:20,"the fractures of people when they were human,","las fracturas de la gente cuando era humano,",,
00:33:47:14,00:33:51:10,"before it became a
tree, he dedicated himself to healing","antes que se convirtiera en un
árbol, él se dedicaba a curar",,
00:33:52:10,00:33:56:08,"and today if you break your leg,
an arm,","y hoy en día si tú te fracturas una pierna,
un brazo,",,
00:33:56:26,00:34:01:16,"They splint it for you with wood from Trupillo,
because that was his job","te lo entablillan con madera de Trupillo,
porque ese era su oficio",,
00:34:02:16,00:34:07:08,and it is a tree that the Wayuú leave near their homes.,y es un árbol que los wayuú dejan cerca a sus casas.,,
00:34:07:19,00:34:11:08,"They generally cut down everything
to have a view of who is arriving.","Generalmente talan todo
para tener una vista de quien llega.",,
00:34:11:27,00:34:12:15,So.,Entonces.,,
00:34:12:15,00:34:14:26,But the tree they leave is Trupillo,Pero el árbol que dejan es el Trujillo,,
00:34:15:26,00:34:19:12,"His name is Aipia and he is very wise, he is peaceful.","Aipia se llama y es muy sabio, es pacífico.",,
00:34:19:13,00:34:23:06,It has many advantages.,Tiene muchas ventajas.,,
00:34:23:07,00:34:24:20,"Gives food,","Da comida,",,
00:34:25:00,00:34:28:26,"Before it gave nutritious food,
proteins, vegetables.","antes daba un alimento nutritivo,
proteínas, vegetales.",,
00:34:29:08,00:34:31:11,Nowadays the Wayuú have somewhat lost their consumption of,Hoy en día  los wayuú han perdido un poco el consumo de,,
00:34:31:12,00:34:33:09,that was,eso que era,,
00:34:33:10,00:34:35:13,so important for Wayuú nutrition.,tan importante para la nutrición wayú.,,
00:34:35:27,00:34:38:28,"So the trees tell us things,","Entonces los árboles nos dicen cosas,",,
00:34:39:13,00:34:44:13,"So if you focus, you are going to film, look.
what do you have back there,","entonces si se enfocan, se van a filmar, fíjate
bien qué tienes ahí detrás,",,
00:34:44:24,00:34:49:08,"because surely there is a story in the plant,
It is more than a backdrop,","porque seguramente hay una historia en la planta,
hay más que un telón de fondo,",,
00:34:49:26,00:34:51:17,It is a story.,es una historia.,,
00:34:51:18,00:34:54:01,"Yes, so that is what I was going to recommend,","Si entonces eso es lo que te  iba a recomendar,",,
00:34:55:05,00:34:58:04,"That would be my advice. The rest,","Sería mi consejo. Lo demás,",,
00:34:58:05,00:35:01:11,"Well, the Earth is an excellent starting point,","bueno, la tierra es un excelente punto de partida,",,
00:35:01:14,00:35:03:26,perhaps the deepest starting point,quiza el más profundo punto de partida,,
00:35:04:25,00:35:06:27,It is the issue of territory.,es el tema del territorio.,,
00:35:06:28,00:35:09:12,"I would have coastal areas,","Yo tendría zonas costeras,",,
00:35:09:13,00:35:13:14,"inland areas, of shepherds, the Wayuú economy","zonas de adentro, de pastores,  la economía wayú",,
00:35:13:25,00:35:16:01,It tells us about a relationship with the land.,nos habla de una relación con la tierra.,,
00:35:17:14,00:35:20:26,"Wayuú agriculture is beautiful, and I talked about it
that night.","La agricultura wayú es hermosísimo y yo lo hablé
esa noche.",,
00:35:20:27,00:35:23:03,What's the point of all this?,¿Qué sentido tiene todo esto?,,
00:35:23:12,00:35:29:10,"Grazing, fishing, weaving also speak to us,
because the fabric","El pastoreo, la pesca,  el tejido también nos habla,
porque el tejido",,
00:35:29:23,00:35:33:03,"look at this,","mira esto,",,
00:35:33:04,00:35:37:07,"This is a Wayuú fabric,
but this is a fabric of the sea,","esto es un tejido wayuú,
pero este es un tejido del mar,",,
00:35:38:04,00:35:43:18,"This is called like the eye of the fish,
like the eye of the fish.","este se llama como el ojo del pez,
como el ojo del pez.",,
00:35:44:03,00:35:47:09,"So I'm going to show it to you here,","Entonces ya te lo voy a mostrar aquí,",,
00:35:47:10,00:35:48:15,"rather,","más bien,",,
00:35:49:14,00:35:53:25,"These are Wayuú graphics, canoe graphics.","estos son grafismos wayuú, grafismos de canoas.",,
00:35:54:04,00:35:55:18,"So,","Entonces,",,
00:35:55:19,00:35:58:02,when filming a documentary,al filmar un documental,,
00:35:58:03,00:35:59:29,"I would say that,","yo diría que,",,
00:36:01:17,00:36:02:17,"look at this,","mira esto,",,
00:36:02:24,00:36:07:26,"They are the Wayuú
hanging fish like leaves","son los wayuú
colgando los peces como hojas",,
00:36:08:05,00:36:10:05,"So,","Así es que,",,
00:36:10:06,00:36:13:29,"What I mean is that when we see a backpack,","Lo que yo
quiero decir es que cuando vemos una mochila,",,
00:36:14:15,00:36:17:19,"When we see a Wayuú object, it is talking to us,","cuando vemos un objeto wayuú, él nos está hablando,",,
00:36:18:12,00:36:21:06,but sometimes we go over it,pero a veces pasamos por encima de él,,
