,Start Time,End Time,EN,ES,Highlight,Comments,Interview
1430,07:57,08:05,"It is very important to talk about it since many are unaware
of this story, yes.","Es muy importante hablar de eso ya que muchos desconocen
de esta historia, sí.",,,Wolunka
1431,08:06,08:12,"It is not so common to talk about these stories, as
Wolunka's, yes.","No es tan común hablar de estas historias, como
la de Wolunka, Sí.",,,Wolunka
1432,08:14,08:21,"About the culture of us Wayuu. Even so, I know
Speak, the story is told","Sobre la cultura de nosotros los wayuu. Aun así, se
Habla, se cuenta de la historia",,,Wolunka
1433,08:22,08:26,"They come to see it.
has your name","Lo vienen a ver.
Tiene su nombre",,,Wolunka
1434,08:27,08:30,"The water was red, it turned red","El agua era de color rojo, se enrojeció",,,Wolunka
1435,08:31,08:34,"It was very reddish, where","Era muy rojizo, donde",,,Wolunka
1436,08:36,08:40,"Blood was spilled, yes, where I spill blood,
because I bleed a lot","Se derramó la sangre, si, donde derramo sangre,
porque sangro bastante",,,Wolunka
1437,08:42,08:49,"This is the story of wolunka, so that we
we existed and multiplied on earth","Así es la historia de wolunka, para que nosotros
existiéramos y nos multiplicáramos en la tierra",BRIGHT_GREEN (4),,Wolunka
1438,08:51,08:52,Juya's daughter (rain),Hija de Juya (lluvio),BRIGHT_GREEN (4),,Wolunka
1439,08:54,08:55,the beautiful wolunka,La bella wolunka,BRIGHT_GREEN (4),,Wolunka
1440,08:56,08:59,"From which we originate, from which we exist, yes.","De la cual nos originamos, de la cual existimos, sí.",BRIGHT_GREEN (4),,Wolunka
1441,09:02,09:04,What else do you want to know.,Que más quiere saber.,,,Wolunka
1442,09:06,09:09,It is very interesting to hear everything you have told me,Es muy interesante escuchar todo lo que me has contado,,,Wolunka
1443,09:10,09:11,If I am correct,Si estoy en lo correcto,,,Wolunka
1444,09:12,09:14,"Yes of course.
Now.","Si, claro.
Ahora.",,,Wolunka
1445,09:16,09:19,"I am here in the north zone, to know about Wolunka,","Estoy aquí en la zona norte, para conocer sobre Wolunka,",,,Wolunka
1446,09:20,09:21,To know,Para conocer,,,Wolunka
1447,09:22,09:23,"yes, how interesting","Si, que interesante",,,Wolunka
1448,09:24,09:30,"To know our origin. Yes, of us the Wayuu,
since ancient times.","Para conocer nuestro origen. Si, de nosotros los wayuu,
desde la antigüedad.",,,Wolunka
1449,09:33,09:40,"The thing related to wolunka, like that stone where he sat, right? If he sat there.","Lo relacionado con wolunka, como esa piedra donde se sentaba ¿cierto? Si ahí se sentaba.",,,Wolunka
1450,09:41,09:45,"Well, I used to see the images on sheets, too","Bueno, yo antes veía las imágenes en hojas, también",,,Wolunka
1451,09:47,09:49,I also saw it on the phone until now,También lo veía en el teléfono hasta ahora,,,Wolunka
1452,09:50,09:59,"I was like, I wish I could go there, but you're already here,
You already know it, you already saw it, we are already here and it is very good","Yo decía, ojalá pudiera ir allá, pero ya estás aquí,
ya lo conoces, ya lo viste, ya estamos aquí y es muy bueno",,,Wolunka
1453,10:00,10:04,"There's always water, that's good, it's always cold","Hay siempre agua, eso es bueno, siempre esta frio",,,Wolunka
1454,10:06,10:10,They say that when people get close,Dicen que cuando las personas se acercan,,,Wolunka
1455,10:11,10:12,"It's like,","Es como si,",,,Wolunka
1456,10:13,10:15,"They felt the spiritual atmosphere of the place,","Sintieran el ambiente espiritual del lugar,",,,Wolunka
1457,10:16,10:21,"when someone arrives, a lot of spiritual energy is revived
in the place","cuando alguien llega, se aviva mucha energía espiritual
en el lugar",,,Wolunka
1458,10:22,10:29,"If the environment is heavy, even some people
her spirit appears","Si es pesado el ambiente, incluso a algunas personas
le aparece el espíritu de ella",,,Wolunka
1459,10:30,10:38,"You hear sounds of her washing, at night, if you pass
around here, you hear as if bathing or swimming","Se escuchan sonidos de ella lavando, en la noche, si pasas
por aquí, escuchas como si se bañara o nadara",,,Wolunka
1460,10:39,10:41,"She manifests herself like this, with whoever wants to listen to her","Ella se manifiesta así, con el que quiera que la escuche",,,Wolunka
1461,10:42,10:44,Some like it and others don't.,Unos les cae bien y otros no.,,,Wolunka
1462,10:46,10:48,"This place is sacred, right.","Este lugar es sagrado, cierto.",,,Wolunka
1463,10:49,10:50,They call it sacred,Lo denominan sagrado,,,Wolunka
1464,10:52,10:53,Or sacred site,O sitio sagrado,,,Wolunka
1465,10:56,10:58,"Yes, and with this","Si, y con esto",,,Wolunka
1466,11:00,11:06,"I say that I have learned, but just as I was there
many who still don't know","Digo que he aprendido, pero, así como estaba yo hay
muchos que aún no lo saben",,,Wolunka
1467,11:08,11:12,And they need to know stories like this,Y es necesario que conozcan historias como esta,,,Wolunka
1468,11:13,11:18,"So that they recognize their value and importance within
of our culture","Para que reconozcan su valor y su importancia dentro
de nuestra cultura",,,Wolunka
1469,11:19,11:26,"So that they say and share what their lineage is,
how is represented","Para que, digan y compartan cual es su linaje,
cómo se representa",,,Wolunka
1470,11:27,11:29,"Since we all have a lineage, yes.","En vista de que todos tenemos un linaje, sí.",,,Wolunka
1471,11:30,11:32,"For example, this is the territory of the Arpushana","Por ejemplo, este es el territorio de los Arpushana",,,Wolunka
1472,11:35,11:42,"Instead, my territory is there, now we are going there
in Alewalu, where my grandmother is from","En cambio, mi territorio es allá, ahora vamos para allá
en Alewalu, de donde es mi abuela",,,Wolunka
1473,11:43,11:48,"It still has mangoes, where my grandmother has mangoes.
I always went to look for mangoes","Todavía tiene mangos, donde mu abuela hay mango.
Yo iba siempre a buscar mangos",,,Wolunka
1474,11:50,11:52,And Kayushipuna is my father's territory,Y Kayushipuna es territorio de mi padre,,,Wolunka
1475,11:54,11:55,AND,Y,,,Wolunka
1476,11:56,12:02,"One day. When we arrived, my mom told me
“There are still mangoes from my grandmother here”","Un día. Cuando llegábamos, mi mama me decía
“aquí hay mangos de mi abuela todavía”",,,Wolunka
1477,12:03,12:04,And my mom showed them to me,Y mi mama me los mostraba,,,Wolunka
1478,12:05,12:10,"They came by donkey, sometimes 5 or 6 donkeys.","Ellos llegaban en burro, a veces 5 o 6 burros",,,Wolunka
1479,12:12,12:13,To take mango from here,Para llevar mango de aquí,,,Wolunka
1480,12:14,12:19,"Although it is far away, we always come and suffer a lot","Aunque este lejos, siempre venimos y sufrimos mucho",,,Wolunka
1481,12:20,12:23,"Sometimes the mangoes fall on the road, yes.","A veces los mangos se caen en el camino, sí.",,,Wolunka
1482,12:24,12:26,There are still mangoes from my grandmother.,Todavía hay mangos de mi abuela.,,,Wolunka
1483,12:27,12:29,we are Pausayu from Usijouje´,nosotros somos Pausayu de Usijouje´,BRIGHT_GREEN (4),,Wolunka
1484,12:30,12:33,same now let's,Igual ahora vamos a,BRIGHT_GREEN (4),,Wolunka
1485,12:35,12:42,"To see. That is, to see more places for them
learn more about our culture","Para ver. Es decir, ver mas lugares para que ellos
conozcan más de nuestra cultura",BRIGHT_GREEN (4),,Wolunka
1486,12:43,12:44,and that also,Y que también,BRIGHT_GREEN (4),,Wolunka
1487,12:45,12:49,"It remains engraved, for the new generation","quede grabado, para la nueva generación",BRIGHT_GREEN (4),,Wolunka
1488,12:50,12:53,"Also for, children, yes children","También para, los niños, si los niños",BRIGHT_GREEN (4),,Wolunka
1489,12:54,13:02,"So we will continue exploring, of course, we must train
to the children and tell them what life was like for our ancestors","Así que seguiremos explorando, claro, hay que formar
a los niños y decirles como era la vida de nuestros ancestros",BRIGHT_GREEN (4),,Wolunka
1490,13:03,13:09,"So that they keep what we are, that they are not ashamed
of culture when they go to the city","Para que conserven lo que somos, que no les avergüence
de la cultura cuando vayan a la ciudad",BRIGHT_GREEN (4),,Wolunka
1491,13:10,13:11,Totally true,Totalmente cierto,,,Wolunka
1492,13:12,13:18,"They don't want to wear our clothes anymore, it embarrasses them,
they are going to wear pants when they leave","Ya no quieren ponerse nuestra vestimenta, les avergüenza,
van a usar pantalón cuando se vayan",,,Wolunka
1493,13:19,13:24,That is why it is necessary to preserve what we are,Por eso es necesario conservar lo que somos,BRIGHT_GREEN (4),,Wolunka
1494,13:25,13:26,we shouldn't be ashamed,no debemos avergonzarnos,,,Wolunka
1495,13:27,13:31,"Rather, rather, the arijunas are more interested
(person who is not wayuu)","Más bien, mas bien le interesa mas a los arijunas
(persona que no es wayuu)",,,Wolunka
1496,13:32,13:34,We don't care sometimes,Nosotros no le damos importancia a veces,,,Wolunka
1497,13:35,13:39,"We don't give it importance, if we are the ones
selfless and our children","No le damos importancia, si somos nosotros los
desinteresados y nuestros hijos",,,Wolunka
1498,13:40,13:43,"Because? Because of the technology, yes.","¿Por qué? Por la tecnología, sí.",,,Wolunka
1499,13:44,13:48,"That is the cause, as you already know the technology
children are no longer interested in anything","Esa es la causa, como ya conocen la tecnología
ya no les interesa nada a los niños",,,Wolunka
1500,13:49,13:56,"They no longer want to put on the blanket but pants, they are
cell phone earring","Ya no se quieren poner la manta sino pantalón, están
pendiente del celular",,,Wolunka
1501,13:58,14:05,"That is why it is necessary to talk to the children, train them
and instill in them","Por eso es necesario, hablar con los niños, formarlos
e inculcarles",,,Wolunka
1502,14:06,14:10,"Values such as solidarity, because now being supportive
it is very necessary","Valores como la solidaridad, porque ahora ser solidarios
es muy necesario",,,Wolunka
1503,14:13,14:15,Solidarity is our greatest wealth,Ser solidarios es nuestra mayor riqueza,,,Wolunka
1504,15:17,15:19,Can't see a bit,No se puede ver un poquito,,,Wolunka
1505,15:20,15:23,"Yes, you can see it, but it is prohibited","Si, hay se puede ver, pero está prohibido",,,Wolunka
1506,15:28,15:31,There are Maaiku's footprints when he injured Wolunka,Ahí se ven las huellas de Maaiku cuando hirió a Wolunka,,,Wolunka
1507,15:32,15:33,where is it?,¿en dónde está?,,,Wolunka
1508,15:34,15:39,"It's on the other side, up there? No, it's from the other side
for that rubble","Esta del otro lado, ¿allá arriba? No, es del otro lado
por ese escombro",,,Wolunka
1509,15:40,15:43,"I thought it was from this side, how it came out of the water","Yo pensé que era de este lado, como salió del agua",,,Wolunka
1510,15:44,15:47,Not because it came from there and I threw it there,No porque venia de allá y lo lanzo hacia allá,,,Wolunka
1511,15:48,15:50,"She was there, yes she was bathing","Ella estaba ahí, si estaba bañándose",,,Wolunka
1512,15:51,15:56,"So I throw it to her there, and she woke up with the wound, yes.
And He sat there, yes.","Entonces se lo lanzo ahí, y ella se levanto con la herida, sí.
Y Se sentó allá, sí.",,,Wolunka
1513,15:59,16:02,"She went crying to father Juya,","Se fue llorando a donde el padre Juya,",,,Wolunka
1514,16:02,16:04,bled out right there,Se desangró justo ahí,,,Wolunka
1515,16:06,16:11,"Yes, she got to the water and of course, if they hurt her
right there that's why the blood reached the water","Si, llego hasta el agua y como no, si la hirieron
justo ahí por eso la sangre llego al agua",,,Wolunka
1516,16:12,16:15,"On that side, just below you can see the blood","Por eso lado, justo abajo se ve la sangre",,,Wolunka
1517,16:16,16:19,"They threw the date there, and the tracks can still be seen","Le lanzaron la fecha de allá, y se ven las huellas todavía",,,Wolunka
1518,16:26,16:27,So it happened with Wolunka,Así sucedió con Wolunka,,,Wolunka
1519,16:35,16:36,this is mayo,Esto es mayosa,,,Wolunka
1520,16:38,16:43,"The mayo is like the soursop, with which juice is made","La mayosa es como la guanábana, con el que se hace jugo",,,Wolunka
1521,17:05,17:06,wild mayo,Mayosa silvestre,,,Wolunka
1522,17:15,17:16,That is wild guanaba,Esa es guanaba silvestre,,,Wolunka
1523,17:19,17:21,What do they say? Where are we going now?,¿Qué dicen? Que ¿para dónde vamos ahora?,,,Wolunka
1524,17:23,17:26,"For there, we continue, by car or walking, of course by car.","Para allá, seguimos, en auto o caminando, claro en auto.",,,Wolunka
1525,17:27,17:29,What's the name of the place? alewalu,¿Cómo se llama el lugar? Alewalu,,,Wolunka
1526,00:01:06:08,00:01:08:14,Can you explain what you are doing?,¿Puedes explicar lo que estás haciendo?,,,Magalys electrico
1527,00:01:08:14,00:01:11:14,This is a portable lamp.,A esta es una lámpara portátil.,,,Magalys electrico
1528,00:01:11:15,00:01:13:15,A Solar LED lamp,Una lámpara Solar.,,,Magalys electrico
1529,00:01:16:01,00:01:19:01,Well this is what we did,"Bueno, esto es lo que hicimos",,,Magalys electrico
1530,00:01:19:19,00:01:22:14,in India.,en la India.,,,Magalys electrico
1531,00:01:22:14,00:01:25:14,"I can put together this plate,","Yo puedo armar esta placa,",,,Magalys electrico
1532,00:01:26:20,00:01:29:20,but since the batteries are already there.,pero como las baterías ya están.,,,Magalys electrico
1533,00:01:31:09,00:01:32:14,"With this lot,","Con este solar,",,,Magalys electrico
1534,00:01:32:14,00:01:35:14,this lamp charges,se carga esta lámpara,,,Magalys electrico
1535,00:01:37:00,00:01:38:18,"From the sunlight,","de la luz solar,",,,Magalys electrico
1536,00:01:38:18,00:01:41:17,This one is 10 volts.,este es diez voltios.,,,Magalys electrico
1537,00:01:41:17,00:01:43:12,"Yeah,","Sí,",,,Magalys electrico
1538,00:01:43:12,00:01:46:20,10 volts and 7 amperes,de diez voltios y siete de amperaje.,,,Magalys electrico
1539,00:01:53:05,00:01:55:21,"I,",Yo,,,Magalys electrico
1540,00:01:55:21,00:01:58:21,From India I learned to assemble.,de la India aprendí a armar.,,,Magalys electrico
1541,00:01:59:04,00:02:02:04,This is the plate of this lamp,Esta es la placa de esta lámpara,,,Magalys electrico
1542,00:02:03:17,00:02:06:17,that I can put together myself.,que yo misma puedo armar.,,,Magalys electrico
1543,00:02:06:18,00:02:08:07,These are the components.,Estos son los componentes.,,,Magalys electrico
1544,00:02:08:07,00:02:11:07,These are the components.,Estos son los componentes.,,,Magalys electrico
1545,00:02:11:12,00:02:14:12,"Yes, they are the components.","Sí, son los componentes.",,,Magalys electrico
1546,00:02:14:21,00:02:17:10,Here are the resistors.,Aquí están las resistencias.,,,Magalys electrico
1547,00:02:17:10,00:02:20:00,These are resistors.,Estas son resistencias.,,,Magalys electrico
1548,00:02:20:00,00:02:23:00,"These are,","Estos son,",,,Magalys electrico
1549,00:02:23:03,00:02:25:00,resistors.,resistencia.,,,Magalys electrico
1550,00:02:25:00,00:02:27:14,These are the,Estos son los,,,Magalys electrico
1551,00:02:27:14,00:02:29:06,AISI.,AISI.,,,Magalys electrico
1552,00:02:29:06,00:02:32:02,"The diodes, the","Los diodos, los",,,Magalys electrico
1553,00:02:32:02,00:02:35:01,capacitors that are diodes.,capacitadores que son diodos.,,,Magalys electrico
1554,00:02:35:21,00:02:38:03,This is an offer .,Este es un offer.,,,Magalys electrico
1555,00:02:38:03,00:02:41:05,"This is a transformer, a capacitor.","Este es un transformador, un capacitador.",,,Magalys electrico
1556,00:02:42:11,00:02:44:19,This is another capacitor.,Este es otro capacitador.,,,Magalys electrico
1557,00:02:44:19,00:02:47:15,This is a,Este es un,,,Magalys electrico
1558,00:02:47:15,00:02:49:01,I knew this,yo lo cogí,,,Magalys electrico
1559,00:02:49:01,00:02:50:23,and I learned that there.,Y lo aprendí allá.,,,Magalys electrico
1560,00:02:50:23,00:02:53:23,These are the components of this plate.,Estos son los componentes de esta plaquita.,,,Magalys electrico
1561,00:02:54:07,00:02:56:11,I can put this together,Yo puedo armar esto,,,Magalys electrico
1562,00:02:56:11,00:02:59:11,"and I have my book, through the book it was","y tengo mi libro, a través del libro fue",,,Magalys electrico
1563,00:03:00:07,00:03:03:07,that I learned to put together,que aprendí a armar,,,Magalys electrico
1564,00:03:03:19,00:03:05:18,each component.,cada componente.,,,Magalys electrico
1565,00:03:05:18,00:03:08:18,"If I don't set this up well, it doesn't turn on.","Si yo no compongo bien, no prende.",,,Magalys electrico
1566,00:03:10:08,00:03:11:21,But through this,Pero a través de este,,,Magalys electrico
1567,00:03:11:21,00:03:15:10,"I repeated it every day, the teacher would tell us","repetía todos los días, el teacher nos decía",,,Magalys electrico
1568,00:03:17:23,00:03:20:23,that a resistance of,que una resistencia de,,,Magalys electrico
1569,00:03:22:11,00:03:25:11,R22.,R22.,,,Magalys electrico
1570,00:03:25:14,00:03:27:08,"Well, they taught us colors","Bueno, nos enseñaron los colores",,,Magalys electrico
1571,00:03:27:08,00:03:30:08,because resistors have colors.,porque las resistencias tienen colores.,,,Magalys electrico
1572,00:03:30:21,00:03:33:21,"The red, the yellow,","El rojo, el amarillo,",,,Magalys electrico
1573,00:03:33:21,00:03:37:12,"the black, the green because they have a voltage.","el negro, el verde porque tienen un voltaje.",,,Magalys electrico
1574,00:03:38:09,00:03:40:11,We do the math,Sacamos cuenta,,,Magalys electrico
1575,00:03:40:11,00:03:42:17,through colors.,a través de los colores.,,,Magalys electrico
1576,00:03:42:17,00:03:44:00,They taught us.,Nos enseñaron.,,,Magalys electrico
1577,00:03:44:00,00:03:47:00,This is a 22k resistor,Este es una resistencia de 22 k,,,Magalys electrico
1578,00:03:48:14,00:03:51:02,and I have to search,y tengo que buscar,,,Magalys electrico
1579,00:03:51:02,00:03:51:20,the little plate,la plaquita,,,Magalys electrico
1580,00:03:51:20,00:03:54:19,It has its numbering where I have to,tiene su numeración donde tengo que,,,Magalys electrico
1581,00:03:55:08,00:03:57:15,put.,poner.,,,Magalys electrico
1582,00:03:57:15,00:03:58:22,"Well,","Bueno,",,,Magalys electrico
1583,00:03:58:22,00:04:02:14,This is a lamp plate.,esta es una placa de la lámpara.,,,Magalys electrico
1584,00:04:02:18,00:04:03:15,It's this one here.,Es esta que está acá.,,,Magalys electrico
1585,00:04:05:01,00:04:05:19,I can teach,Yo puedo enseñar,,,Magalys electrico
1586,00:04:05:19,00:04:09:03,"the boys, just like they taught me and I didn’t know","los muchachos, así como me enseñaron a mí y yo no sé",,,Magalys electrico
1587,00:04:10:03,00:04:13:15,"what voltage, well voltage yes, because I learned","qué voltaje, bueno voltaje sí, porque yo aprendí",,,Magalys electrico
1588,00:04:13:15,00:04:16:15,"that the numbers, that we have to do the math,","que los números, que tenemos que sacar cuentas,",,,Magalys electrico
1589,00:04:17:13,00:04:18:06,the basics.,lo básico.,,,Magalys electrico
1590,00:04:18:06,00:04:21:15,I didn't learn that quickly.,No aprendí así tan rápido.,,,Magalys electrico
1591,00:04:22:11,00:04:23:04,Yeah.,Sí.,,,Magalys electrico
1592,00:04:23:04,00:04:26:13,So with each one of those you put them together for the other,¿Así con cada uno de esos armaba para las otras,,,Magalys electrico
1593,00:04:26:13,00:04:28:00,people from the community?,personas de la comunidad?,,,Magalys electrico
1594,00:04:28:00,00:04:32:11,"Yes, of course, because after the course they send us this.","Sí, claro, porque después del curso nos envían esto.",,,Magalys electrico
1595,00:04:33:03,00:04:36:13,The government has to finance the school,El gobierno tiene que financiar con la escuela,,,Magalys electrico
1596,00:04:36:13,00:04:38:14,so they can send us the material,para que puedan enviarnos el material,,,Magalys electrico
1597,00:04:38:14,00:04:40:17,and to electrify the community.,y para electrificar la comunidad.,,,Magalys electrico
1598,00:04:40:17,00:04:43:17,"“Barefoot school” (Barefoot College) in India,","Es en la escuela de Barefoot
en la India,",,,Magalys electrico
1599,00:04:43:17,00:04:47:18,and this is a PCB plate,y esta es una placa de un PCB,,,Magalys electrico
1600,00:04:48:14,00:04:51:14,of a control that is this one that is here.,de un control que es ésta que está acá.,,,Magalys electrico
1601,00:04:52:23,00:04:55:05,This is how they gave it to us like this in India.,Así nos entregan así en la India.,,,Magalys electrico
1602,00:04:55:05,00:04:58:05,"“Go set up!”
Do they just send you that?","Vayan a armar.
¿Le envían eso no más?",,,Magalys electrico
1603,00:04:58:09,00:04:59:22,"Yes, they give us this","Sí, nos dan esto",,,Magalys electrico
1604,00:04:59:22,00:05:02:02,"back in India, that's what I did every day.","allá en la India, eso es lo que hacía todos los días.",,,Magalys electrico
1605,00:05:03:12,00:05:05:11,To set this up.,Armar esto.,,,Magalys electrico
1606,00:05:05:11,00:05:08:11,"The components, they gave us the components, just like this.","Los componentes, nos daban los componentes, así como esto.",,,Magalys electrico
1607,00:05:09:01,00:05:12:12,So it comes simple like this,Entonces llega sencillo así,,,Magalys electrico
1608,00:05:12:23,00:05:14:19,"and you put everything together?
Yeah.","y usted arma todo?
Sí.",,,Magalys electrico
1609,00:05:14:19,00:05:15:23,From the beginning?,¿Desde el inicio?,,,Magalys electrico
1610,00:05:15:23,00:05:17:17,"From the beginning, from scratch.","Desde inicio, desde cero.",,,Magalys electrico
1611,00:05:17:17,00:05:19:14,Just as it is.,Así como está.,,,Magalys electrico
1612,00:05:19:14,00:05:22:14,There's the end.,Ahí está el final.,,,Magalys electrico
1613,00:05:23:03,00:05:26:03,Until it turns on.,Así hasta que aprenda.,,,Magalys electrico
1614,00:05:26:10,00:05:28:17,"This is a control, a loading control","Este es de un control, de un control de carga",,,Magalys electrico
1615,00:05:28:17,00:05:32:01,which controls the charge from the solar to the battery so that,que controla la carga del solar a la batería porque,,,Magalys electrico
1616,00:05:33:06,00:05:35:15,it keeps.,se mantiene.,,,Magalys electrico
1617,00:05:35:15,00:05:38:15,"Yes, this is a 40 volt charge.","Si, esta es una carga de 40 voltios",,,Magalys electrico
1618,00:05:39:17,00:05:41:22,and 10 amperes.,y diez de amperaje.,,,Magalys electrico
1619,00:05:41:22,00:05:43:22,Yeah,Si,,,Magalys electrico
1620,00:05:43:22,00:05:45:07,This,Esto,,,Magalys electrico
1621,00:05:45:07,00:05:48:07,"They asked us. “This name!”,","nos preguntaban. “This name!”,",,,Magalys electrico
1622,00:05:50:06,00:05:52:11,“This name!” said the teacher,“This name!” decía el teacher,,,Magalys electrico
1623,00:05:52:11,00:05:54:22,"and we repeated what he said first,","y repetíamos lo que él decía primero,",,,Magalys electrico
1624,00:05:54:22,00:05:57:23,“PCB!” first repeated. “PCB!”,“PCB!” repetía primero “PCB!”.,,,Magalys electrico
1625,00:05:59:11,00:06:02:11,And he said “This name?” “PCB!”.,"Y él decía “This name?” PCB.

…",,,Magalys electrico
1626,00:06:02:22,00:06:07:04,"Okay, “Charge Controller!” meaning the control","Okay, “Charge Controller!”",,,Magalys electrico
1627,00:06:09:22,00:06:11:04,Do you understand me that English? Or is that English?,,,,Magalys electrico
1628,00:06:12:07,00:06:13:25,"Yes, it is! (Laughs)",,,,Magalys electrico
1629,00:06:15:04,00:06:18:02,And that's how we learned it,Y así lo aprendíamos,,,Magalys electrico
1630,00:06:18:02,00:06:21:02,“Charge Controller!” “This name?”,“Charge Controller!” “This name?”,,,Magalys electrico
1631,00:06:21:07,00:06:23:20,"“PCB!”,","Vcb, vcb",,,Magalys electrico
1632,00:06:23:20,00:06:26:12,“This name?” “Charge Controller!”,Disnay controles,,,Magalys electrico
1633,00:06:27:11,00:06:30:13,and so then the components,y así después los componentes,,,Magalys electrico
1634,00:06:31:14,00:06:34:14,"aha, “This name?” in “resistance!”,","ajá, Disney en resistencia,",,,Magalys electrico
1635,00:06:34:18,00:06:37:07,"Oh, “resistance”",resistencia,,,Magalys electrico
1636,00:06:37:07,00:06:39:05,and so on.,y así sucesivamente.,,,Magalys electrico
1637,00:06:39:05,00:06:42:05,We learned each one's name,Aprendíamos cada uno como se llamaba,,,Magalys electrico
1638,00:06:42:18,00:06:45:13,“This name?” the teacher “This name!”,Disnay el profe Disnay.,,,Magalys electrico
1639,00:06:45:13,00:06:47:08,"Yes,","Sí,",,,Magalys electrico
1640,00:06:47:08,00:06:49:21,"In this organization, what is the importance","¿En esta organización, cuál es la importancia",,,Magalys electrico
1641,00:06:49:21,00:06:52:21,that it is women who learn?,de que sean las mujeres las que aprenden?,,,Magalys electrico
1642,00:06:52:21,00:06:56:11,"Well, it says at school because we are grandmothers,","Bueno, dice en la escuela porque somos abuelas,",,,Magalys electrico
1643,00:06:56:11,00:06:59:11,and we stay in the community,y nos quedamos en la comunidad,,,Magalys electrico
1644,00:07:00:06,00:07:03:14,teaching our children or our grandchildren,enseñando a nuestros hijos o a nuestros nietos,,,Magalys electrico
1645,00:07:04:15,00:07:08:00,and that is why the importance of women is,"y por eso es la importancia de la mujer,",,,Magalys electrico
1646,00:07:08:16,00:07:11:16,because she is the one who is always in the community,porque es la que siempre está en la comunidad,,,Magalys electrico
1647,00:07:12:17,00:07:15:07,"and men don't, they leave,","y los hombres no, se van,",,,Magalys electrico
1648,00:07:15:07,00:07:18:05,“Men drink” they said.,“Beben” dicen ellos.,,,Magalys electrico
1649,00:07:18:05,00:07:21:02,That's why it's so important,Por eso es la importancia que sea,,,Magalys electrico
1650,00:07:21:02,00:07:23:08,"Elder women,","mujeres mayores de edad,",,,Magalys electrico
1651,00:07:23:08,00:07:26:07,"because if they are young, they also go to the city.",porque si son jovencitas también se va para la ciudad.,,,Magalys electrico
1652,00:07:26:15,00:07:30:01,"On the other hand, the mothers are grandmothers, and they already stay at home.","En cambio, las mamás son abuelas, y ya se quedan en la casa.",,,Magalys electrico
1653,00:07:30:23,00:07:31:18,That is the importance.,Esa es la importancia.,,,Magalys electrico
1654,00:07:31:18,00:07:33:16,That's what they explained to us in India.,Eso es lo que nos explicaron en la India.,,,Magalys electrico
1655,00:07:34:22,00:07:36:10,Do you believe in that too?,¿También crees en eso?,,,Magalys electrico
1656,00:07:36:10,00:07:39:02,"Yes. Well, that is.","Sí. Bueno, es eso.",,,Magalys electrico
1657,00:07:39:02,00:07:40:15,And how does it work?,¿Y cómo funciona?,,,Magalys electrico
1658,00:07:40:15,00:07:43:15,"the solar panel,","¿el panel solar,",,,Magalys electrico
1659,00:07:43:23,00:07:46:19,goes through what regulator to charge the batteries?,pasa a través de que regulador para cargar las baterías?,,,Magalys electrico
1660,00:07:46:19,00:07:48:10,And then when can you use it?,¿Y luego cuando puede utilizarlo?,,,Magalys electrico
1661,00:07:48:10,00:07:51:09,"Well, the regulator is this, that is,","Bueno, el regulador es éste, o sea,",,,Magalys electrico
1662,00:07:52:12,00:07:53:10,is this.,es este.,,,Magalys electrico
1663,00:07:53:10,00:07:58:00,This is the control that regulates the load,Este es el control que regula la carga,,,Magalys electrico
1664,00:07:59:02,00:08:01:20,from solar to battery.,del solar a la batería.,,,Magalys electrico
1665,00:08:01:20,00:08:02:17,It keeps it.,Se mantiene.,,,Magalys electrico
1666,00:08:02:17,00:08:06:06,"It does not burn the battery, but it has already reached its cycle.","No quema la batería, sino que ya llegó a su ciclo.",,,Magalys electrico
1667,00:08:06:06,00:08:07:13,Ten years it’s ten years.,Diez años son diez años.,,,Magalys electrico
1668,00:08:07:13,00:08:10:13,There are only five years of lifespan for a battery.,Son nomás cinco años de vida de una batería.,,,Magalys electrico
1669,00:08:10:18,00:08:13:11,"Time has passed,","Si ya pasó el tiempo,",,,Magalys electrico
1670,00:08:13:11,00:08:17:02,but when this was given to the community the lights turned on.,pero cuando esto se entregó a la comunidad prendían las luces.,,,Magalys electrico
1671,00:08:17:09,00:08:18:14,"Happy, happy.","Felices, felices.",,,Magalys electrico
1672,00:08:18:14,00:08:21:14,What happiness!,¡Qué felicidad!,,,Magalys electrico
1673,00:08:21:15,00:08:24:07,This is the page,Esta es la página,,,Magalys electrico
1674,00:08:24:07,00:08:26:22,from the school.,de la escuela.,,,Magalys electrico
1675,00:08:26:22,00:08:28:22,You get in there,Se meten ahí,,,Magalys electrico
1676,00:08:28:22,00:08:29:09,And that,Y esto,,,Magalys electrico
1677,00:08:29:09,00:08:31:12,when the community brought it to me,cuando me lo trajeron la comunidad,,,Magalys electrico
1678,00:08:31:12,00:08:34:12,"all this disassembled, burned.","todo esto desarmado, quemado.",,,Magalys electrico
1679,00:08:34:15,00:08:34:23,"Sure,","Claro,",,,Magalys electrico
1680,00:08:34:23,00:08:36:05,I have a spare,Yo tengo repuesto,,,Magalys electrico
1681,00:08:36:05,00:08:39:07,"because they sent me spare parts from India and I can repair,","porque me mandaron repuesto de la India y puedo reparar,",,,Magalys electrico
1682,00:08:41:02,00:08:43:08,give them again.,volverlos a entregar.,,,Magalys electrico
1683,00:08:43:08,00:08:46:14,But if they don't want to make the payment.,Pero si ellos no quieren cumplir con el pago.,,,Magalys electrico
